,Route0,Route1,Route2,Route3,Route4,Route5
0,32,14,70,39,693,152
1,394,371,31,20,101,83
2,622,121,38,33,62,124
3,615,119,46,36,45,139
4,541,170,60,47,53,129
5,176,104,67,43,49,561
6,533,263,52,34,23,95
7,423,160,48,24,61,284
8,195,121,51,37,60,536
9,575,215,62,33,39,76
10,182,107,54,32,72,553
11,549,260,61,20,38,72
12,276,122,54,23,79,446
13,508,189,77,27,60,139
14,192,97,58,30,80,543
15,567,220,48,32,44,89
16,280,122,59,35,80,424
17,448,208,98,38,67,141
18,187,96,93,40,87,497
19,553,204,72,27,44,100
20,223,107,141,26,90,413
21,443,182,112,53,59,151
22,219,112,164,38,73,394
23,396,150,149,67,65,173
24,250,98,162,43,100,347
25,342,149,160,71,76,202
26,250,115,156,63,92,324
27,329,118,177,68,87,221
28,250,110,168,63,131,278
29,356,116,129,75,81,243
30,267,109,162,76,102,284
31,278,126,150,68,129,249
32,311,110,147,71,137,224
33,277,119,168,75,123,238
34,284,124,135,84,135,238
35,300,112,144,76,153,215
36,271,112,137,80,158,242
37,294,122,129,75,154,226
38,271,126,129,65,160,249
39,311,118,126,65,160,220
40,312,96,145,76,148,223
41,305,100,149,73,164,209
42,310,104,114,73,178,221
43,289,122,138,53,157,241
44,294,119,114,77,165,231
45,316,113,123,79,169,200
46,280,120,133,56,181,230
47,313,120,117,71,181,198
48,276,98,143,71,177,235
49,340,119,102,62,150,227
50,273,110,121,69,191,236
51,336,136,102,69,162,195
52,284,103,124,51,185,253
53,307,143,140,59,143,208
54,315,105,121,59,188,212
55,290,124,104,85,187,210
56,280,131,143,72,173,201
57,316,100,125,72,162,225
58,285,111,115,60,196,233
59,339,132,95,73,167,194
60,288,103,123,59,201,226
61,315,129,114,79,172,191
62,298,120,119,65,177,221
63,281,122,155,69,164,209
64,285,111,121,78,180,225
65,292,141,132,66,171,198
66,291,110,121,64,190,224
67,296,118,126,84,158,218
68,285,114,114,68,204,215
69,295,148,118,61,156,222
70,299,114,106,55,209,217
71,292,131,106,75,166,230
72,283,118,129,71,195,204
73,305,126,108,81,159,221
74,296,106,124,61,191,222
75,312,126,112,80,156,214
76,284,109,136,70,186,215
77,293,130,121,67,170,219
78,281,117,127,71,198,206
79,320,111,112,62,173,222
80,298,117,124,67,183,211
81,296,115,118,94,150,227
82,295,110,131,64,182,218
83,314,111,118,77,172,208
84,299,124,110,78,177,212
85,289,119,116,55,193,228
86,321,114,114,75,177,199
87,286,120,131,66,169,228
88,306,115,109,63,184,223
89,322,102,108,76,181,211
90,278,111,134,53,192,232
91,310,129,122,76,157,206
92,252,122,125,77,178,246
93,353,125,131,58,155,178
94,305,113,110,62,183,227
95,284,113,116,76,198,213
96,311,111,124,75,163,216
97,311,113,123,55,188,210
98,296,122,104,86,182,210
99,268,128,116,72,182,234
100,311,118,129,74,173,195
101,276,116,120,78,193,217
102,305,113,112,84,167,219
103,299,124,121,68,193,195
104,305,126,109,66,185,209
105,288,115,121,75,170,231
106,313,121,107,79,167,213
107,284,119,135,46,198,218
108,303,122,112,73,177,213
109,291,119,120,61,208,201
110,315,138,116,62,158,211
111,289,110,118,66,204,213
112,316,115,96,59,187,227
113,304,107,125,68,173,223
114,307,107,116,73,173,224
115,310,116,137,61,176,200
116,282,119,120,83,164,232
117,294,122,116,71,186,211
