,Road0,Road1,Road2,Road3,Road4,Road5,Road6,Road7,Road8,Road9,Road10,Road11
0,234,83,766,151,83,651,126,115,676,209,115,791
1,855,460,145,395,460,78,385,67,88,845,67,155
2,731,600,269,131,600,107,108,162,130,708,162,292
3,248,101,752,147,101,114,124,638,137,225,638,775
4,854,642,146,212,642,72,191,74,93,833,74,167
5,731,511,269,220,511,114,186,155,148,697,155,303
6,692,455,308,237,455,137,202,171,172,657,171,343
7,347,184,653,163,184,149,126,504,186,310,504,690
8,822,530,178,292,530,98,273,80,117,803,80,197
9,595,381,405,214,381,156,183,249,187,564,249,436
10,506,302,494,204,302,147,145,347,206,447,347,553
11,704,438,296,266,438,148,225,148,189,663,148,337
12,348,158,652,190,158,175,108,477,257,266,477,734
13,813,528,187,285,528,107,264,80,128,792,80,208
14,630,315,370,315,315,161,176,209,300,491,209,509
15,560,324,440,236,324,190,190,250,236,514,250,486
16,593,315,407,278,315,158,172,249,264,487,249,513
17,558,299,442,259,299,207,191,235,275,490,235,510
18,575,323,425,252,323,189,169,236,272,492,236,508
19,588,322,412,266,322,200,200,212,266,522,212,478
20,519,277,481,242,277,205,160,276,287,437,276,563
21,638,370,362,268,370,189,222,173,235,592,173,408
22,487,225,513,262,225,206,154,307,314,379,307,621
23,653,410,347,243,410,192,211,155,224,621,155,379
24,472,238,528,234,238,233,153,295,314,391,295,609
25,682,427,318,255,427,171,232,147,194,659,147,341
26,452,231,548,221,231,277,149,271,349,380,271,620
27,684,422,316,262,422,178,242,138,198,664,138,336
28,465,240,535,225,240,254,160,281,319,400,281,600
29,623,351,377,272,351,190,221,187,241,572,187,428
30,492,237,508,255,237,261,162,247,354,399,247,601
31,624,391,376,233,391,199,220,177,212,611,177,389
32,493,256,507,237,256,249,154,258,332,410,258,590
33,578,364,422,214,364,207,214,215,207,578,215,422
34,498,275,502,223,275,259,169,243,313,444,243,556
35,592,338,408,254,338,190,205,218,239,543,218,457
36,513,267,487,246,267,243,188,244,301,455,244,545
37,576,312,424,264,312,247,196,177,315,508,177,492
38,521,298,479,223,298,235,180,244,278,478,244,522
39,563,326,437,237,326,227,184,210,280,510,210,490
40,514,281,486,233,281,255,179,231,309,460,231,540
41,564,321,436,243,321,232,217,204,258,538,204,462
42,517,280,483,237,280,266,181,217,322,461,217,539
43,574,310,426,264,310,225,199,201,290,509,201,491
44,534,299,466,235,299,245,193,221,287,492,221,508
45,533,270,467,263,270,234,190,233,307,460,233,540
46,541,308,459,233,308,246,196,213,283,504,213,496
47,575,316,425,259,316,226,183,199,302,499,199,501
48,535,284,465,251,284,245,189,220,307,473,220,527
49,536,322,464,214,322,257,210,207,261,532,207,468
50,560,292,440,268,292,232,176,208,324,468,208,532
51,527,296,473,231,296,268,208,205,291,504,205,496
52,524,300,476,224,300,248,166,228,306,466,228,534
53,574,344,426,230,344,233,202,193,261,546,193,454
54,508,278,492,230,278,265,178,227,317,456,227,544
55,582,339,418,243,339,210,204,208,249,543,208,457
56,498,272,502,226,272,265,155,237,336,427,237,573
57,597,339,403,258,339,228,227,175,259,566,175,434
58,491,287,509,204,287,256,158,253,302,445,253,555
59,581,333,419,248,333,240,200,179,288,533,179,467
60,488,284,512,204,284,270,174,242,300,458,242,542
61,612,352,388,260,352,210,186,178,284,538,178,462
62,526,287,474,239,287,264,172,210,331,459,210,541
63,572,325,428,247,325,235,216,193,266,541,193,459
64,504,293,496,211,293,238,149,258,300,442,258,558
65,573,338,427,235,338,197,196,230,236,534,230,466
66,516,276,484,240,276,268,176,216,332,452,216,548
67,568,339,432,229,339,237,221,195,245,560,195,440
68,520,270,480,250,270,262,153,218,359,423,218,577
69,619,380,381,239,380,205,202,176,242,582,176,418
70,488,277,512,211,277,263,162,249,312,439,249,561
71,572,328,428,244,328,233,209,195,268,537,195,463
72,510,294,490,216,294,288,189,202,315,483,202,517
73,550,319,450,231,319,238,190,212,279,509,212,491
74,547,288,453,259,288,251,193,202,317,481,202,519
75,566,326,434,240,326,217,191,217,266,517,217,483
76,499,290,501,209,290,260,177,241,292,467,241,533
77,573,320,427,253,320,226,218,201,261,538,201,462
78,540,284,460,256,284,250,177,210,329,461,210,539
79,546,301,454,245,301,233,213,221,265,514,221,486
80,508,277,492,231,277,255,158,237,328,435,237,565
81,574,333,426,241,333,223,223,203,241,556,203,444
82,517,270,483,247,270,235,168,248,314,438,248,562
83,575,345,425,230,345,227,215,198,242,560,198,440
84,484,251,516,233,251,277,166,239,344,417,239,583
85,588,342,412,246,342,218,219,194,245,561,194,439
86,513,277,487,236,277,250,173,237,313,450,237,550
87,586,362,414,224,362,243,205,171,262,567,171,433
88,518,291,482,227,291,260,173,222,314,464,222,536
89,553,330,447,223,330,227,201,220,249,531,220,469
90,537,276,463,261,276,235,176,228,320,452,228,548
91,565,309,435,256,309,230,208,205,278,517,205,483
92,528,292,472,236,292,251,173,221,314,465,221,535
93,566,325,434,241,325,236,190,198,287,515,198,485
94,515,282,485,233,282,272,196,213,309,478,213,522
95,591,337,409,254,337,214,190,195,278,527,195,473
96,496,268,504,228,268,288,199,216,317,467,216,533
97,576,318,424,258,318,225,194,199,289,512,199,488
98,515,278,485,237,278,249,183,236,303,461,236,539
99,555,315,445,240,315,238,212,207,266,527,207,473
