,Route0,Route1,Route2,Route3,Route4,Route5
0,24,10,88,36,736,106
1,411,361,43,20,120,45
2,644,93,39,31,78,115
3,568,185,45,48,53,101
4,501,186,56,41,59,157
5,300,130,42,31,70,427
6,520,215,53,35,56,121
7,123,100,41,31,80,625
8,557,281,22,15,48,77
9,466,200,27,16,84,207
10,277,149,52,29,85,408
11,434,224,71,24,65,182
12,222,110,54,30,80,504
13,511,259,59,24,38,109
14,228,126,29,23,81,513
15,497,221,69,12,52,149
16,216,141,41,25,91,486
17,503,229,57,16,48,147
18,245,118,43,22,76,496
19,475,222,69,17,45,172
20,269,131,44,21,95,440
21,382,215,70,27,64,242
22,288,146,56,29,87,394
23,331,176,90,31,78,294
24,315,155,76,39,93,322
25,327,165,110,32,88,278
26,303,149,93,34,82,339
27,302,144,109,44,77,324
28,303,156,118,43,87,293
29,297,153,99,49,99,303
30,316,145,97,42,105,295
31,302,142,126,53,95,282
32,328,130,105,45,95,297
33,277,135,116,57,101,314
34,334,127,141,43,92,263
35,289,131,118,50,102,310
36,293,133,129,55,91,299
37,321,132,132,53,101,261
38,268,132,143,56,107,294
39,294,130,135,58,124,259
40,298,137,122,79,94,270
41,269,127,138,69,117,280
42,298,134,133,58,139,238
43,270,121,131,71,139,268
44,304,140,120,68,131,237
45,291,119,139,69,129,253
46,308,116,149,62,131,234
47,252,123,139,81,141,264
48,282,138,139,68,139,234
49,274,115,136,69,148,258
50,299,138,131,75,123,234
51,311,112,121,71,143,242
52,263,132,133,75,162,235
53,289,132,132,67,152,228
54,276,136,119,85,162,222
55,276,138,120,75,159,232
56,286,126,138,56,150,244
57,284,123,119,76,165,233
58,280,144,135,70,159,212
59,292,118,127,73,164,226
60,294,110,114,81,160,241
61,287,145,136,67,161,204
62,245,134,122,81,170,248
63,324,124,114,64,153,221
64,283,124,125,72,153,243
65,276,145,139,74,160,206
66,281,112,125,77,171,234
67,291,134,120,75,170,210
68,280,129,126,74,162,229
69,253,111,136,80,179,241
70,290,149,107,71,164,219
71,278,127,131,61,162,241
72,287,131,116,82,172,212
73,293,125,117,58,168,239
74,301,126,114,68,181,210
75,295,123,102,82,179,219
76,295,119,141,60,166,219
77,267,125,123,76,175,234
78,310,138,115,62,174,201
79,280,106,120,64,188,242
80,325,129,112,68,164,202
81,258,123,144,69,168,238
82,303,128,129,80,178,182
83,287,122,111,71,176,233
84,289,140,119,61,173,218
85,286,120,120,65,193,216
86,287,142,103,69,193,206
87,276,142,121,66,180,215
88,270,132,115,64,179,240
89,309,116,104,85,171,215
90,285,115,127,71,187,215
91,282,118,125,79,182,214
92,284,138,127,60,168,223
93,289,123,110,76,167,235
94,268,129,132,70,163,238
95,279,152,124,64,169,212
96,264,122,118,75,197,224
97,299,137,130,72,174,188
98,267,122,121,72,185,233
99,307,139,100,68,175,211
