,Route0,Route1,Route2,Route3,Route4,Route5
0,126,116,93,72,551,42
1,680,186,50,33,27,24
2,105,89,28,14,111,653
3,183,679,22,6,43,67
4,594,77,16,4,164,145
5,62,42,45,12,188,651
6,683,92,26,7,110,82
7,590,52,52,14,153,139
8,565,58,69,25,154,129
9,550,33,63,32,177,145
10,549,37,61,30,178,145
11,544,41,64,22,169,160
12,533,40,65,22,180,160
13,539,37,60,25,193,146
14,534,28,62,28,184,164
15,449,28,51,29,180,263
16,529,37,83,22,160,169
17,141,33,58,20,204,544
18,673,110,27,13,76,101
19,587,63,45,17,180,108
20,512,46,107,19,197,119
21,404,38,145,37,227,149
22,567,68,46,38,136,145
23,72,46,130,33,586,133
24,692,113,30,15,89,61
25,587,58,28,20,118,189
26,594,77,46,19,87,177
27,414,62,46,27,88,363
28,566,89,49,19,85,192
29,97,67,56,29,97,654
30,678,149,28,11,50,84
31,605,91,31,11,110,152
32,592,76,64,30,96,142
33,307,52,55,26,115,445
34,621,109,63,25,79,103
35,240,64,60,24,126,486
36,662,135,42,14,66,81
37,189,85,183,17,128,398
38,663,116,21,45,67,88
39,114,73,230,35,130,418
40,673,121,16,40,63,87
41,176,74,207,36,111,396
42,653,123,31,57,56,80
43,110,63,205,33,166,423
44,653,154,8,29,81,75
45,165,84,229,30,186,306
46,618,137,13,65,65,102
47,136,70,103,45,220,426
48,594,226,15,26,67,72
49,190,119,196,29,223,243
50,547,168,28,80,75,102
51,115,75,69,42,265,434
52,573,252,18,11,60,86
53,245,116,239,19,190,191
54,542,114,23,131,66,124
55,142,52,94,68,268,376
56,571,204,38,32,74,81
57,263,119,172,29,172,245
58,481,117,70,77,97,158
59,192,74,175,48,229,282
60,577,170,35,47,70,101
61,139,73,103,42,223,420
62,600,221,27,16,55,81
63,153,110,158,26,301,252
64,567,214,22,41,59,97
65,145,88,72,52,191,452
66,556,233,32,17,54,108
67,212,94,184,32,259,219
68,568,183,36,35,73,105
69,161,87,87,37,229,399
70,575,230,29,17,59,90
71,142,89,115,46,316,292
72,526,263,18,22,73,98
73,192,102,103,34,191,378
74,526,215,57,35,61,106
75,166,97,113,30,290,304
76,546,200,36,26,80,112
77,202,97,128,24,243,306
78,525,196,54,46,60,119
79,162,97,99,47,281,314
80,509,233,57,30,75,96
81,195,102,82,49,233,339
82,507,183,89,29,71,121
83,218,85,131,33,267,266
84,477,189,57,50,95,132
85,194,85,114,42,253,312
86,502,197,65,36,79,121
87,195,102,109,44,273,277
88,508,204,52,40,82,114
89,176,100,97,28,248,351
90,551,196,58,26,73,96
91,175,99,112,33,273,308
92,478,208,67,42,95,110
93,209,90,108,35,229,329
94,487,175,75,45,92,126
95,205,88,126,39,274,268
96,512,193,46,38,81,130
97,201,94,102,40,264,299
98,481,195,70,31,92,131
99,226,114,95,36,235,294
