,Route0,Route1,Route2,Route3,Route4,Route5
0,89,81,80,74,590,86
1,480,357,30,38,37,58
2,335,88,49,23,111,394
3,623,97,65,39,68,108
4,83,56,77,37,101,646
5,650,147,48,24,48,83
6,489,193,62,39,92,125
7,449,182,95,45,93,136
8,318,127,80,42,107,326
9,415,157,100,48,94,186
10,169,73,103,55,113,487
11,533,224,68,47,66,62
12,304,131,175,37,113,240
13,319,116,153,55,97,260
14,332,106,113,64,105,280
15,319,99,155,53,99,275
16,334,115,144,67,91,249
17,303,104,144,71,113,265
18,311,115,163,82,110,219
19,269,96,168,82,100,285
20,384,103,138,81,95,199
21,248,88,180,66,124,294
22,363,126,150,74,94,193
23,238,101,142,85,139,295
24,375,122,137,87,102,177
25,228,82,152,82,186,270
26,396,150,118,73,96,167
27,283,93,144,68,150,262
28,313,105,132,86,122,242
29,282,109,161,94,151,203
30,321,106,146,93,125,209
31,297,89,147,86,134,247
32,322,105,148,98,125,202
33,257,102,149,98,174,220
34,309,104,137,103,126,221
35,296,103,137,91,153,220
36,282,115,152,76,154,221
37,300,110,152,97,125,216
38,284,103,159,100,145,209
39,302,111,143,79,147,218
40,278,102,130,88,155,247
41,316,108,126,101,152,197
42,277,82,180,82,152,227
43,333,96,128,108,117,218
44,291,80,146,102,141,240
45,316,109,131,87,129,228
46,276,92,150,95,176,211
47,288,122,123,87,157,223
48,309,99,148,86,145,213
49,310,91,145,92,159,203
50,314,103,125,90,143,225
51,331,83,132,92,160,202
52,304,85,148,74,182,207
53,318,109,132,84,141,216
54,288,101,119,105,160,227
55,323,122,126,89,150,190
56,267,91,149,89,178,226
57,331,97,130,85,140,217
58,314,77,140,83,165,221
59,304,111,127,106,172,180
60,280,110,144,91,143,232
61,321,96,155,79,149,200
62,317,93,137,91,144,218
63,310,95,136,91,162,206
64,304,107,141,85,147,216
65,311,94,143,80,160,212
66,299,102,126,96,153,224
67,296,88,142,100,139,235
68,283,115,143,83,148,228
69,300,117,123,101,170,189
70,306,93,147,84,144,226
71,299,100,142,87,151,221
72,300,101,145,107,151,196
73,291,96,141,93,158,221
74,303,105,154,86,147,205
75,301,96,150,74,135,244
76,311,97,143,86,147,216
77,312,85,128,107,164,204
78,319,99,147,93,133,209
79,293,101,152,81,168,205
80,322,100,119,100,146,213
81,282,91,142,103,163,219
82,294,114,138,99,138,217
83,288,104,150,90,178,190
84,305,107,124,86,173,205
85,310,97,127,111,150,205
86,277,103,153,89,165,213
87,316,112,142,88,143,199
88,291,108,131,87,163,220
89,321,95,124,95,149,216
90,301,90,119,114,171,205
91,294,100,155,92,153,206
92,290,92,149,104,128,237
93,287,111,138,92,153,219
94,326,88,129,103,150,204
95,290,106,137,94,141,232
96,280,101,139,94,147,239
97,290,103,159,93,135,220
98,304,104,139,92,146,215
99,306,108,141,105,150,190
