,Route0,Route1,Route2,Route3,Route4,Route5
0,23,7,59,26,781,104
1,380,375,28,13,155,49
2,682,121,33,23,91,50
3,649,116,40,27,55,113
4,532,200,44,24,53,147
5,475,217,40,32,69,167
6,115,96,32,26,69,662
7,621,235,20,10,36,78
8,382,344,24,14,67,169
9,146,84,40,26,70,634
10,696,168,15,10,36,75
11,509,208,31,16,83,153
12,107,110,44,19,78,642
13,577,269,25,11,44,74
14,572,169,24,13,79,143
15,285,218,52,25,82,338
16,351,150,57,25,76,341
17,328,164,53,32,82,341
18,307,146,62,36,86,363
19,464,161,72,30,79,194
20,99,108,71,32,78,612
21,637,217,38,16,40,52
22,464,211,32,14,93,186
23,104,107,54,19,84,632
24,566,285,25,9,44,71
25,545,183,22,17,86,147
26,152,125,77,18,105,523
27,594,224,43,13,54,72
28,143,111,380,25,80,261
29,638,99,17,96,39,111
30,115,82,17,68,86,632
31,660,179,11,36,37,77
32,149,102,474,26,103,146
33,658,75,10,115,44,98
34,146,89,15,69,77,604
35,677,185,5,29,40,64
36,407,120,40,22,67,344
37,321,108,122,47,70,332
38,346,116,179,61,60,238
39,234,110,168,54,72,362
40,434,129,143,53,63,178
41,167,110,179,51,75,418
42,525,154,114,74,47,86
43,118,103,180,51,84,464
44,571,132,116,50,40,91
45,152,91,289,37,124,307
46,570,111,37,103,51,128
47,123,76,72,61,176,492
48,606,165,82,29,42,76
49,151,108,308,31,212,190
50,638,96,14,82,48,122
51,144,88,34,53,158,523
52,659,172,32,28,47,62
53,141,113,176,19,327,224
54,635,169,13,10,53,120
55,151,109,50,17,190,483
56,600,192,46,9,54,99
57,124,128,109,14,349,276
58,624,208,25,8,44,91
59,143,129,95,17,202,414
60,551,197,66,13,62,111
61,151,134,65,18,357,275
62,577,205,49,12,49,108
63,149,119,77,11,265,379
64,502,218,70,12,73,125
65,161,126,74,31,311,297
66,517,200,77,19,65,122
67,171,112,91,20,254,352
68,545,197,66,15,66,111
69,159,130,87,18,328,278
70,520,199,61,11,74,135
71,184,126,85,15,276,314
72,470,204,67,12,100,147
73,190,109,107,31,280,283
74,495,195,67,26,89,128
75,177,128,85,25,284,301
76,502,184,55,18,82,159
77,196,116,78,27,283,300
78,511,181,54,24,94,136
79,166,101,86,19,307,321
80,561,178,56,18,65,122
81,208,107,90,23,271,301
82,474,189,83,20,94,140
83,188,101,73,25,303,310
84,513,187,57,18,90,135
85,229,111,99,23,267,271
86,445,185,75,27,128,140
87,227,118,105,20,257,273
88,401,189,86,30,130,164
89,241,115,75,34,259,276
90,405,182,84,21,141,167
91,218,113,90,37,269,273
92,426,178,73,36,138,149
93,221,119,76,30,279,275
94,443,155,86,20,150,146
95,264,105,79,35,268,249
96,396,181,87,28,161,147
97,226,107,81,34,264,288
98,402,178,99,21,161,139
99,231,108,85,40,254,282
