,Route0,Route1,Route2,Route3,Route4,Route5
0,0,1,56,11,803,129
1,386,353,35,4,160,62
2,721,124,28,20,77,30
3,657,150,45,28,35,85
4,126,625,43,26,46,134
5,667,58,17,12,57,189
6,114,125,31,21,54,655
7,685,172,18,12,24,89
8,625,115,17,12,66,165
9,132,118,24,14,69,643
10,706,173,14,8,31,68
11,639,114,12,19,74,142
12,101,130,23,18,67,661
13,685,173,13,10,34,85
14,618,126,16,18,66,156
15,90,115,31,25,75,664
16,675,172,19,13,43,78
17,620,139,20,16,82,123
18,96,131,32,24,73,644
19,662,186,23,12,33,84
20,613,136,20,19,82,130
21,90,129,38,17,84,642
22,691,169,22,8,39,71
23,609,135,20,13,71,152
24,96,139,30,24,84,627
25,672,186,18,13,41,70
26,139,149,490,10,75,137
27,644,105,12,94,39,106
28,97,107,13,54,84,645
29,691,165,6,26,42,70
30,623,114,8,24,79,152
31,108,114,20,23,80,655
32,676,181,11,14,40,78
33,157,136,473,7,93,134
34,664,89,7,109,40,91
35,130,92,3,70,82,623
36,686,151,1,40,44,78
37,606,108,22,31,72,161
38,136,116,191,36,79,442
39,672,122,37,57,37,75
40,127,96,168,38,265,306
41,644,160,37,30,40,89
42,134,117,38,31,178,502
43,341,170,372,16,40,61
44,231,88,8,61,367,245
45,697,171,7,31,22,72
46,130,117,12,19,183,539
47,570,177,119,6,55,73
48,127,114,47,15,524,173
49,732,147,3,4,37,77
50,145,113,11,11,63,657
51,683,175,19,7,30,86
52,124,124,484,16,80,172
53,661,79,4,91,46,119
54,148,97,12,57,67,619
55,698,160,7,28,37,70
56,169,126,23,22,477,183
57,690,163,6,12,37,92
58,147,135,24,13,77,604
59,669,178,27,8,31,87
60,144,135,258,9,281,173
61,667,138,9,62,37,87
62,125,105,13,34,164,559
63,651,189,25,16,38,81
64,121,135,124,18,411,191
65,678,179,9,10,31,93
66,109,130,24,9,105,623
67,659,161,31,7,35,107
68,145,133,261,10,266,185
69,672,121,9,64,41,93
70,129,98,31,31,355,356
71,668,175,16,13,35,93
72,189,119,131,17,221,323
73,543,172,66,27,69,123
74,137,140,96,27,325,275
75,559,196,59,17,45,124
76,145,130,55,12,234,424
77,526,186,120,8,80,80
78,145,118,75,18,376,268
79,640,179,30,11,40,100
80,135,121,65,15,232,432
81,527,179,121,7,61,105
82,147,124,130,17,309,273
83,630,179,30,6,44,111
84,139,125,69,16,290,361
85,568,201,60,12,57,102
86,135,113,71,11,354,316
87,616,173,36,8,57,110
88,177,128,103,6,231,355
89,522,198,64,16,75,125
90,159,142,107,21,287,284
91,529,172,70,15,93,121
92,144,132,74,11,325,314
93,579,192,48,8,49,124
94,146,143,68,5,285,353
95,506,208,65,2,98,121
96,146,141,77,11,323,302
97,588,184,42,4,68,114
98,174,114,57,8,304,343
99,511,203,78,3,85,120
