,Route0,Route1,Route2,Route3,Route4,Route5
0,2,0,30,7,841,120
1,493,507,0,0,0,0
2,504,0,1,0,52,443
3,880,106,11,2,1,0
4,500,0,1,0,69,430
5,725,215,41,18,1,0
6,0,0,2,0,100,898
7,725,275,0,0,0,0
8,295,209,8,9,116,363
9,539,349,112,0,0,0
10,508,21,6,28,120,317
11,668,213,115,1,1,2
12,491,45,6,29,120,309
13,652,225,22,0,2,99
14,424,112,6,29,120,309
15,593,282,23,1,2,99
16,405,80,6,29,120,360
17,564,302,26,1,2,105
18,64,15,6,29,120,766
19,694,306,0,0,0,0
20,406,122,10,29,121,312
21,589,286,87,0,1,37
22,377,82,75,29,121,316
23,577,234,143,0,1,45
24,180,34,216,29,119,422
25,613,224,43,108,3,9
26,125,26,243,29,113,464
27,635,222,27,112,0,4
28,116,27,294,29,116,418
29,652,206,18,115,0,9
30,161,23,224,29,89,474
31,598,224,60,114,0,4
32,138,22,284,29,105,422
33,625,210,47,114,0,4
34,133,28,238,29,107,465
35,618,211,49,115,0,7
36,162,37,252,29,122,398
37,599,200,75,115,2,9
38,132,32,245,30,124,437
39,625,205,45,115,4,6
40,143,38,240,36,145,398
41,601,195,66,120,5,13
42,154,30,209,38,164,405
43,585,199,76,116,9,15
44,141,37,203,38,183,398
45,590,207,78,100,16,9
46,172,34,181,47,178,388
47,581,225,71,88,23,12
48,164,32,166,46,202,390
49,589,237,71,66,18,19
50,163,30,155,48,223,381
51,604,259,66,30,26,15
52,137,27,146,42,258,390
53,625,268,56,16,24,11
54,172,32,114,61,238,383
55,579,259,84,30,34,14
56,153,41,138,58,238,372
57,597,249,89,19,34,12
58,150,34,117,65,244,390
59,594,248,81,28,42,7
60,155,44,108,63,272,358
61,545,273,95,36,33,18
62,158,38,110,60,260,374
63,617,237,84,21,28,13
64,149,35,123,70,254,369
65,603,237,83,25,33,19
66,156,33,127,67,244,373
67,609,240,83,26,36,6
68,160,36,124,68,240,372
69,590,246,92,23,33,16
70,154,37,133,71,245,360
71,597,243,81,23,43,13
72,154,35,131,66,250,364
73,550,248,92,32,58,20
74,193,42,114,66,227,358
75,572,232,80,38,69,9
76,160,31,142,70,246,351
77,573,247,84,29,51,16
78,178,41,117,54,241,369
79,569,237,82,33,71,8
80,168,30,135,73,249,345
81,555,226,94,35,72,18
82,176,40,108,68,251,357
83,551,244,83,41,70,11
84,172,35,130,61,251,351
85,554,244,87,41,64,10
86,178,47,128,58,245,344
87,589,207,81,42,65,16
88,178,41,112,61,258,350
89,572,218,83,42,69,16
90,172,43,127,79,228,351
91,563,227,98,35,62,15
92,175,38,122,72,240,353
93,545,248,97,33,67,10
94,153,37,149,67,243,351
95,564,226,86,41,68,15
96,179,40,120,57,248,356
97,553,231,95,42,70,9
98,187,33,128,63,238,351
99,575,223,94,31,70,7
