,Route0,Route1,Route2,Route3,Route4,Route5
0,369,264,101,68,103,95
1,163,123,76,36,466,136
2,385,243,19,13,140,200
3,212,119,28,10,192,439
4,413,243,41,15,101,187
5,275,135,69,13,151,357
6,361,196,106,18,107,212
7,275,114,89,21,161,340
8,436,149,82,23,106,204
9,287,96,100,23,188,306
10,412,186,86,32,102,182
11,243,97,95,29,234,302
12,452,169,83,33,100,163
13,257,85,102,32,234,290
14,449,159,85,31,108,168
15,274,92,106,34,226,268
16,424,165,86,33,117,175
17,269,91,101,35,245,259
18,434,166,81,36,135,148
19,247,93,101,31,237,291
20,420,171,81,33,132,163
21,281,90,95,32,250,252
22,429,164,81,34,145,147
23,260,90,91,32,242,285
24,438,146,82,35,133,166
25,261,82,96,34,259,268
26,424,187,79,31,123,156
27,270,96,94,31,255,254
28,424,176,79,28,134,159
29,276,104,88,29,245,258
30,408,195,77,30,129,161
31,241,106,93,33,243,284
32,437,160,83,36,126,158
33,264,74,99,25,256,282
34,428,176,75,36,123,162
35,270,99,92,34,245,260
36,430,161,79,32,137,161
37,276,81,90,25,244,284
38,427,169,84,31,131,158
39,277,92,88,29,266,248
40,435,168,77,30,128,162
41,284,95,96,21,238,266
42,433,158,78,30,129,172
43,278,94,89,29,254,256
44,419,183,81,21,143,153
45,252,106,84,28,271,259
46,436,160,73,31,127,173
47,273,92,91,31,257,256
48,425,168,71,32,134,170
49,269,91,86,30,255,269
50,442,166,76,29,129,158
51,262,83,94,21,277,263
52,440,156,82,33,129,160
53,278,75,82,28,238,299
54,421,189,74,32,120,164
55,289,96,96,26,255,238
56,444,169,71,28,143,145
57,265,83,95,22,265,270
58,449,154,73,26,134,164
59,288,90,88,34,242,258
60,422,183,77,29,138,151
61,255,92,89,31,268,265
62,433,161,71,25,132,178
63,285,96,82,26,240,271
64,426,181,68,29,133,163
65,262,110,92,22,247,267
66,446,158,70,27,144,155
67,262,78,88,26,274,272
68,422,168,69,25,145,171
69,274,86,80,23,251,286
70,460,161,67,31,124,157
71,267,96,99,30,259,249
72,467,157,77,28,122,149
73,275,81,85,27,269,263
74,408,185,75,32,135,165
75,286,106,88,28,243,249
76,453,148,85,26,132,156
77,264,77,93,27,272,267
78,432,176,75,25,139,153
79,269,95,71,24,252,289
80,437,167,68,25,135,168
81,276,91,93,21,251,268
82,427,195,73,34,131,140
83,245,95,77,30,282,271
84,458,159,67,22,125,169
85,280,83,95,31,259,252
86,435,186,69,16,139,155
87,284,88,77,23,227,301
88,441,161,71,19,147,161
89,275,80,84,22,285,254
90,486,167,58,25,127,137
91,276,73,96,25,258,272
92,451,177,62,25,127,158
93,281,84,100,29,233,273
94,451,175,68,23,127,156
95,278,87,82,22,249,282
96,419,171,65,30,137,178
97,276,88,91,22,245,278
98,421,172,73,26,146,162
99,271,88,87,28,271,255
