,Route0,Route1,Route2,Route3,Route4,Route5
0,49,23,102,50,671,105
1,426,355,53,21,89,56
2,597,75,34,21,107,166
3,588,96,59,55,76,126
4,515,109,57,48,86,185
5,99,70,67,57,85,622
6,543,254,35,29,52,87
7,519,164,34,24,100,159
8,475,173,58,48,93,153
9,243,124,77,50,103,403
10,481,221,81,46,62,109
11,136,82,56,45,89,592
12,558,259,23,21,45,94
13,463,189,28,19,103,198
14,352,126,69,35,100,318
15,360,151,96,35,93,265
16,301,137,63,44,120,335
17,382,174,88,45,100,211
18,256,115,86,49,108,386
19,455,200,100,47,74,124
20,203,90,71,31,101,504
21,564,236,45,18,52,85
22,249,119,72,14,112,434
23,464,214,95,26,55,146
24,222,97,106,24,112,439
25,481,203,91,33,59,133
26,230,99,143,32,94,402
27,411,185,129,59,52,164
28,214,100,137,52,130,367
29,412,169,125,64,68,162
30,246,82,176,43,138,315
31,399,155,121,92,70,163
32,241,86,144,68,146,315
33,371,153,135,73,95,173
34,241,82,202,50,151,274
35,357,144,121,97,91,190
36,260,74,150,73,159,284
37,360,153,134,80,95,178
38,266,92,143,75,166,258
39,328,144,138,77,120,193
40,248,89,140,55,189,279
41,359,154,119,76,120,172
42,238,91,127,73,219,252
43,355,174,115,58,111,187
44,232,102,131,55,208,272
45,374,136,122,53,128,187
46,296,80,118,68,167,271
47,325,150,124,72,120,209
48,257,80,145,75,207,236
49,396,150,119,56,129,150
50,232,94,159,47,204,264
51,365,157,105,72,123,178
52,254,87,109,64,215,271
53,391,143,109,54,127,176
54,261,97,128,50,193,271
55,357,149,111,69,141,173
56,289,84,98,68,194,267
57,356,150,117,60,121,196
58,248,90,123,58,229,252
59,385,163,81,54,144,173
60,247,95,114,49,228,267
61,398,173,96,47,139,147
62,250,102,111,50,219,268
63,359,171,101,45,152,172
64,235,108,124,48,227,258
65,395,174,73,41,141,176
66,250,95,124,45,221,265
67,363,170,110,45,141,171
68,239,102,110,61,229,259
69,383,184,90,48,129,166
70,257,90,105,41,231,276
71,366,150,114,39,154,177
72,268,106,104,65,207,250
73,354,164,109,52,151,170
74,248,104,130,50,231,237
75,403,149,96,42,147,163
76,265,106,89,58,244,238
77,353,169,105,45,155,173
78,234,89,108,78,232,259
79,382,155,96,33,164,170
80,269,96,111,61,215,248
81,369,149,103,43,157,179
82,268,89,122,68,213,240
83,320,169,117,56,164,174
84,257,104,127,67,197,248
85,350,159,100,53,161,177
86,278,130,114,55,220,203
87,317,130,113,73,160,207
88,291,87,127,61,210,224
89,339,142,105,68,162,184
90,247,112,124,66,201,250
91,371,137,101,52,171,168
92,264,88,122,53,216,257
93,350,165,107,57,154,167
94,242,110,104,55,226,263
95,354,162,76,43,193,172
96,241,99,136,61,218,245
97,355,173,96,57,152,167
98,256,94,113,51,224,262
99,348,148,87,51,181,185
