,Road0,Road1,Road2,Road3,Road4,Road5,Road6,Road7,Road8,Road9,Road10,Road11
0,246,95,754,151,95,648,125,106,674,220,106,780
1,876,443,124,433,443,70,417,54,86,860,54,140
2,699,582,301,117,582,120,102,181,135,684,181,316
3,203,66,797,137,66,126,86,671,177,152,671,848
4,866,682,134,184,682,56,155,78,85,837,78,163
5,713,584,287,129,584,139,120,148,148,704,148,296
6,708,509,292,199,509,167,179,125,187,688,125,312
7,686,461,314,225,461,175,188,139,212,649,139,351
8,534,324,466,210,324,172,176,294,206,500,294,500
9,628,380,372,248,380,169,198,203,219,578,203,422
10,475,278,525,197,278,170,154,355,213,432,355,568
11,732,451,268,281,451,150,229,118,202,680,118,320
12,308,159,692,149,159,178,115,514,212,274,514,726
13,839,555,161,284,555,87,266,74,105,821,74,179
14,634,342,366,292,342,168,152,198,308,494,198,506
15,580,351,420,229,351,183,207,237,205,558,237,442
16,562,266,438,296,266,189,171,249,314,437,249,563
17,596,370,404,226,370,186,203,218,209,573,218,427
18,545,270,455,275,270,181,153,274,303,423,274,577
19,628,382,372,246,382,194,218,178,222,600,178,400
20,476,240,524,236,240,223,138,301,321,378,301,622
21,727,467,273,260,467,160,235,113,185,702,113,298
22,430,223,570,207,223,218,130,352,295,353,352,647
23,732,463,268,269,463,137,247,131,159,710,131,290
24,468,219,532,249,219,231,131,301,349,350,301,650
25,676,439,324,237,439,192,232,132,197,671,132,329
26,435,224,565,211,224,260,154,305,317,378,305,622
27,678,397,322,281,397,166,241,156,206,638,156,362
28,446,215,554,231,215,272,144,282,359,359,282,641
29,719,436,281,283,436,145,239,136,189,675,136,325
30,442,221,558,221,221,246,154,312,313,375,312,625
31,621,371,379,250,371,186,222,193,214,593,193,407
32,496,243,504,253,243,290,168,214,375,411,214,589
33,614,396,386,218,396,193,214,193,197,610,193,390
34,488,264,512,224,264,285,151,227,358,415,227,585
35,606,366,394,240,366,199,221,195,218,587,195,413
36,489,246,511,243,246,249,148,262,344,394,262,606
37,632,368,368,264,368,185,234,183,215,602,183,398
38,454,242,546,212,242,269,155,277,326,397,277,603
39,662,404,338,258,404,178,215,160,221,619,160,381
40,460,257,540,203,257,273,154,267,322,411,267,589
41,635,362,365,273,362,185,239,180,219,601,180,399
42,441,197,559,244,197,293,177,266,360,374,266,626
43,669,412,331,257,412,168,223,163,202,635,163,365
44,472,263,528,209,263,255,152,273,312,415,273,585
45,634,374,366,260,374,187,234,179,213,608,179,392
46,486,276,514,210,276,272,170,242,312,446,242,554
47,615,341,385,274,341,197,236,188,235,577,188,423
48,484,243,516,241,243,286,161,230,366,404,230,596
49,591,363,409,228,363,212,215,197,225,578,197,422
50,493,247,507,246,247,281,176,226,351,423,226,577
51,604,372,396,232,372,216,211,180,237,583,180,417
52,483,270,517,213,270,265,149,252,329,419,252,581
53,592,334,408,258,334,218,231,190,245,565,190,435
54,471,242,529,229,242,279,165,250,343,407,250,593
55,618,346,382,272,346,185,223,197,234,569,197,431
56,492,265,508,227,265,261,173,247,315,438,247,562
57,588,337,412,251,337,202,217,210,236,554,210,446
58,504,258,496,246,258,270,173,226,343,431,226,569
59,561,335,439,226,335,206,205,233,227,540,233,460
60,507,282,493,225,282,261,156,232,330,438,232,562
61,560,321,440,239,321,237,244,203,232,565,203,435
62,488,259,512,229,259,264,165,248,328,424,248,576
63,581,325,419,256,325,219,218,200,257,543,200,457
64,487,284,513,203,284,257,144,256,316,428,256,572
65,593,358,407,235,358,212,222,195,225,580,195,420
66,497,265,503,232,265,270,181,233,321,446,233,554
67,584,361,416,223,361,214,176,202,261,537,202,463
68,491,280,509,211,280,261,156,248,316,436,248,564
69,588,358,412,230,358,214,194,198,250,552,198,448
70,484,256,516,228,256,284,186,232,326,442,232,558
71,585,337,415,248,337,223,206,192,265,543,192,457
72,503,279,497,224,279,276,155,221,345,434,221,566
73,575,326,425,249,326,230,229,195,250,555,195,445
74,506,257,494,249,257,267,169,227,347,426,227,574
75,584,352,416,232,352,206,209,210,229,561,210,439
76,510,277,490,233,277,259,164,231,328,441,231,559
77,592,358,408,234,358,207,194,201,247,552,201,448
78,547,308,453,239,308,244,176,209,307,484,209,516
79,503,298,497,205,298,241,185,256,261,483,256,517
80,571,305,429,266,305,222,189,207,299,494,207,506
81,523,296,477,227,296,264,184,213,307,480,213,520
82,553,310,447,243,310,236,202,211,277,512,211,488
83,499,251,501,248,251,271,188,230,331,439,230,561
84,596,341,404,255,341,209,213,195,251,554,195,446
85,507,302,493,205,302,265,159,228,311,461,228,539
86,563,321,437,242,321,235,202,202,275,523,202,477
87,503,249,497,254,249,255,162,242,347,411,242,589
88,594,365,406,229,365,220,199,186,250,564,186,436
89,474,270,526,204,270,272,153,254,323,423,254,577
90,588,340,412,248,340,206,206,206,248,546,206,454
91,511,292,489,219,292,265,141,224,343,433,224,567
92,567,316,433,251,316,213,208,220,256,524,220,476
93,522,278,478,244,278,262,196,216,310,474,216,526
94,560,321,440,239,321,228,189,212,278,510,212,490
95,499,276,501,223,276,270,186,231,307,462,231,538
96,571,307,429,264,307,245,215,184,294,522,184,478
97,518,295,482,223,295,260,182,222,301,477,222,523
98,580,312,420,268,312,229,210,191,287,522,191,478
99,491,283,509,208,283,254,168,255,294,451,255,549
