,Road0,Road1,Road2,Road3,Road4,Road5,Road6,Road7,Road8,Road9,Road10,Road11
121,864,562,136,302,562,53,288,83,67,850,83,150
122,255,105,745,150,105,406,102,339,454,207,339,793
123,888,587,112,301,587,50,273,62,78,860,62,140
124,255,120,745,135,120,391,92,354,434,212,354,788
125,887,542,113,345,542,52,322,61,75,864,61,136
126,215,96,785,119,96,399,97,386,421,193,386,807
127,847,539,153,308,539,60,301,93,67,840,93,160
128,231,100,769,131,100,404,95,365,440,195,365,805
129,847,562,153,285,562,60,267,93,78,829,93,171
130,236,111,764,125,111,389,92,375,422,203,375,797
131,849,568,151,281,568,59,265,92,75,833,92,167
132,249,116,751,133,116,394,86,357,441,202,357,798
133,894,584,106,310,584,37,281,69,66,865,69,135
134,245,103,755,142,103,388,107,367,423,210,367,790
135,876,578,124,298,578,52,287,72,63,865,72,135
136,237,116,763,121,116,399,89,364,431,205,364,795
137,871,539,129,332,539,53,315,76,70,854,76,146
138,240,107,760,133,107,379,102,381,410,209,381,791
139,857,550,143,307,550,54,289,89,72,839,89,161
140,229,97,771,132,97,382,91,389,423,188,389,812
141,868,547,132,321,547,53,296,79,78,843,79,157
142,230,118,770,112,118,379,80,391,411,198,391,802
143,874,546,126,328,546,47,310,79,65,856,79,144
144,234,96,766,138,96,407,103,359,442,199,359,801
145,872,604,128,268,604,50,256,78,62,860,78,140
146,245,115,755,130,115,371,81,384,420,196,384,804
147,859,555,141,304,555,47,274,94,77,829,94,171
148,256,114,744,142,114,402,101,342,443,215,342,785
149,878,578,122,300,578,51,283,71,68,861,71,139
150,230,99,770,131,99,395,106,375,420,205,375,795
151,863,574,137,289,574,56,276,81,69,850,81,150
152,239,101,761,138,101,371,97,390,412,198,390,802
153,865,555,135,310,555,51,292,84,69,847,84,153
154,234,116,766,118,116,385,85,381,418,201,381,799
155,847,528,153,319,528,58,307,95,70,835,95,165
156,239,98,761,141,98,391,100,370,432,198,370,802
157,852,566,148,286,566,64,264,84,86,830,84,170
158,261,119,739,142,119,387,97,352,432,216,352,784
159,883,566,117,317,566,47,287,70,77,853,70,147
160,243,117,757,126,117,403,86,354,443,203,354,797
161,860,533,140,327,533,59,307,81,79,840,81,160
162,240,111,760,129,111,374,96,386,407,207,386,793
163,868,556,132,312,556,47,292,85,67,848,85,152
164,231,103,769,128,103,402,94,367,436,197,367,803
165,874,559,126,315,559,66,298,60,83,857,60,143
166,230,94,770,136,94,396,97,374,435,191,374,809
167,860,567,140,293,567,53,276,87,70,843,87,157
168,242,97,758,145,97,391,103,367,433,200,367,800
169,864,550,136,314,550,56,297,80,73,847,80,153
170,239,102,761,137,102,384,100,377,421,202,377,798
171,871,564,129,307,564,49,286,80,70,850,80,150
172,244,97,756,147,97,378,104,378,421,201,378,799
173,873,571,127,302,571,57,284,70,75,855,70,145
174,235,113,765,122,113,399,89,366,432,202,366,798
175,869,549,131,320,549,56,303,75,73,852,75,148
176,238,114,762,124,114,380,108,382,396,222,382,778
177,871,575,129,296,575,46,290,83,52,865,83,135
178,227,106,773,121,106,409,92,364,438,198,364,802
179,858,538,142,320,538,54,309,88,65,847,88,153
180,215,100,785,115,100,424,86,361,453,186,361,814
181,855,551,145,304,551,54,286,91,72,837,91,163
182,249,106,751,143,106,414,101,337,456,207,337,793
183,871,587,129,284,587,54,259,75,79,846,75,154
184,239,104,761,135,104,347,89,414,393,193,414,807
185,878,597,122,281,597,41,267,81,55,864,81,136
186,255,118,745,137,118,383,89,362,431,207,362,793
187,874,571,126,303,571,51,284,75,70,855,75,145
188,240,106,760,134,106,362,102,398,394,208,398,792
189,863,550,137,313,550,47,299,90,61,849,90,151
190,241,110,759,131,110,385,96,374,420,206,374,794
191,859,556,141,303,556,55,291,86,67,847,86,153
192,240,109,760,131,109,394,93,366,432,202,366,798
193,877,585,123,292,585,55,278,68,69,863,68,137
194,238,107,762,131,107,398,97,364,432,204,364,796
195,858,563,142,295,563,54,275,88,74,838,88,162
196,244,109,756,135,109,387,96,369,426,205,369,795
197,865,558,135,307,558,46,288,89,65,846,89,154
198,249,105,751,144,105,389,103,362,430,208,362,792
199,872,558,128,314,558,47,292,81,69,850,81,150
200,237,99,763,138,99,374,103,389,409,202,389,798
201,881,577,119,304,577,45,284,74,65,861,74,139
202,230,97,770,133,97,393,105,377,421,202,377,798
203,861,548,139,313,548,58,295,81,76,843,81,157
204,225,107,775,118,107,418,82,357,454,189,357,811
205,863,568,137,295,568,62,271,75,86,839,75,161
206,243,106,757,137,106,377,95,380,419,201,380,799
207,870,558,130,312,558,55,297,75,70,855,75,145
208,244,106,756,138,106,403,101,353,440,207,353,793
209,869,532,131,337,532,58,320,73,75,852,73,148
210,227,106,773,121,106,378,97,395,402,203,395,797
211,864,563,136,301,563,49,294,87,56,857,87,143
212,252,116,748,136,116,390,95,358,431,211,358,789
213,869,566,131,303,566,61,287,70,77,853,70,147
214,248,122,752,126,122,390,87,362,429,209,362,791
215,867,547,133,320,547,64,304,69,80,851,69,149
216,213,93,787,120,93,402,94,385,428,187,385,813
217,845,544,155,301,544,65,284,90,82,828,90,172
218,242,104,758,138,104,380,97,378,421,201,378,799
