,Road0,Road1,Road2,Road3,Road4,Road5,Road6,Road7,Road8,Road9,Road10,Road11
0,0,0,1000,0,0,1000,0,0,1000,0,0,1000
1,1000,494,0,506,494,0,506,0,0,1000,0,0
2,1000,1000,0,0,1000,0,0,0,0,1000,0,0
3,389,163,611,226,163,0,226,611,0,389,611,611
4,1000,574,0,426,574,0,426,0,0,1000,0,0
5,0,0,1000,0,0,0,0,1000,0,0,1000,1000
6,1000,966,0,34,966,0,34,0,0,1000,0,0
7,1000,85,0,915,85,0,915,0,0,1000,0,0
8,1000,1000,0,0,1000,0,0,0,0,1000,0,0
9,1000,1000,0,0,1000,0,0,0,0,1000,0,0
10,3,3,997,0,3,0,0,997,0,3,997,997
11,1000,1000,0,0,1000,0,0,0,0,1000,0,0
12,1000,1000,0,0,1000,0,0,0,0,1000,0,0
13,1000,1000,0,0,1000,0,0,0,0,1000,0,0
14,939,939,61,0,939,0,0,61,0,939,61,61
15,3,3,997,0,3,0,0,997,0,3,997,997
16,1000,1000,0,0,1000,0,0,0,0,1000,0,0
17,1000,999,0,1,999,0,0,0,1,999,0,1
18,1000,774,0,226,774,0,1,0,225,775,0,225
19,996,201,4,795,201,0,0,4,795,201,4,799
20,985,985,15,0,985,0,0,15,0,985,15,15
21,47,47,953,0,47,0,0,953,0,47,953,953
22,1000,1000,0,0,1000,0,0,0,0,1000,0,0
23,1000,1000,0,0,1000,0,0,0,0,1000,0,0
24,971,967,29,4,967,1,1,28,4,968,28,32
25,151,130,849,21,130,5,9,844,17,139,844,861
26,999,964,1,35,964,1,26,0,10,990,0,10
27,884,467,116,417,467,97,82,19,432,549,19,451
28,725,471,275,254,471,216,77,59,393,548,59,452
29,544,342,456,202,342,327,95,129,434,437,129,563
30,583,412,417,171,412,266,138,151,299,550,151,450
31,489,303,511,186,303,315,115,196,386,418,196,582
32,565,374,435,191,374,261,138,174,314,512,174,488
33,527,343,473,184,343,260,115,213,329,458,213,542
34,503,331,497,172,331,271,141,226,302,472,226,528
35,480,292,520,188,292,289,128,231,349,420,231,580
36,580,386,420,194,386,232,138,188,288,524,188,476
37,528,331,472,197,331,276,135,196,338,466,196,534
38,513,327,487,186,327,275,148,212,313,475,212,525
39,531,311,469,220,311,286,148,183,358,459,183,541
40,506,273,494,233,273,281,154,213,360,427,213,573
41,565,348,435,217,348,231,155,204,293,503,204,497
42,505,289,495,216,289,279,167,216,328,456,216,544
43,518,294,482,224,294,274,156,208,342,450,208,550
44,528,295,472,233,295,259,153,213,339,448,213,552
45,535,303,465,232,303,253,161,212,324,464,212,536
46,530,311,470,219,311,265,179,205,305,490,205,510
47,514,320,486,194,320,274,157,212,311,477,212,523
48,512,297,488,215,297,286,164,202,337,461,202,539
49,507,260,493,247,260,275,166,218,356,426,218,574
50,618,396,382,222,396,220,189,162,253,585,162,415
51,0,0,1000,0,0,1000,0,0,1000,0,0,1000
52,868,507,132,361,507,100,362,32,99,869,32,131
53,959,781,41,178,781,29,176,12,31,957,12,43
54,668,455,332,213,455,136,201,196,148,656,196,344
55,862,546,138,316,546,87,341,51,62,887,51,113
56,0,0,1000,0,0,1,0,999,1,0,999,1000
57,957,794,43,163,794,27,165,16,25,959,16,41
58,999,0,1,999,0,1,1000,0,0,1000,0,0
59,989,988,11,1,988,4,3,7,2,991,7,9
60,993,989,7,4,989,1,2,6,3,991,6,9
61,0,0,1000,0,0,1,0,999,1,0,999,1000
62,991,989,9,2,989,2,1,7,3,990,7,10
63,990,989,10,1,989,3,3,7,1,992,7,8
64,993,993,7,0,993,2,1,5,1,994,5,6
65,992,991,8,1,991,3,3,5,1,994,5,6
66,0,0,1000,0,0,0,0,1000,0,0,1000,1000
67,987,985,13,2,985,3,3,10,2,988,10,12
68,995,990,5,5,990,2,6,3,1,996,3,4
69,965,959,35,6,959,13,6,22,13,965,22,35
70,929,4,71,925,4,67,0,4,992,4,4,996
71,993,993,7,0,993,3,3,4,0,996,4,4
72,3,3,997,0,3,0,0,997,0,3,997,997
73,998,998,2,0,998,2,2,0,0,1000,0,0
74,997,996,3,1,996,1,2,2,0,998,2,2
75,999,999,1,0,999,0,0,1,0,999,1,1
76,233,233,767,0,233,10,10,757,0,243,757,757
77,994,994,6,0,994,4,4,2,0,998,2,2
78,953,953,47,0,953,11,11,36,0,964,36,36
79,691,690,309,1,690,20,20,289,1,710,289,290
80,492,492,508,0,492,21,21,487,0,513,487,487
81,592,591,408,1,591,35,36,373,0,627,373,373
82,466,466,534,0,466,38,36,496,2,502,496,498
83,586,586,414,0,586,36,36,378,0,622,378,378
84,468,465,532,3,465,44,45,488,2,510,488,490
85,552,549,448,3,549,56,56,392,3,605,392,395
86,480,479,520,1,479,51,49,469,3,528,469,472
87,526,526,474,0,526,60,51,414,9,577,414,423
88,523,522,477,1,522,70,59,407,12,581,407,419
89,490,489,510,1,489,76,57,434,20,546,434,454
90,489,487,511,2,487,83,57,428,28,544,428,456
91,447,441,553,6,441,126,81,427,51,522,427,478
92,520,516,480,4,516,125,61,355,68,577,355,423
93,450,445,550,5,445,145,68,405,82,513,405,487
94,449,445,551,4,445,176,64,375,116,509,375,491
95,450,444,550,6,444,194,69,356,131,513,356,487
96,486,483,514,3,483,222,69,292,156,552,292,448
97,435,427,565,8,427,247,60,318,195,487,318,513
98,474,466,526,8,466,255,59,271,204,525,271,475
99,456,443,544,13,443,280,56,264,237,499,264,501
100,403,385,597,18,385,353,47,244,324,432,244,568
101,608,592,392,16,592,209,45,183,180,637,183,363
102,0,0,1000,0,0,1000,0,0,1000,0,0,1000
103,779,760,221,19,760,123,28,98,114,788,98,212
104,885,864,115,21,864,65,31,50,55,895,50,105
105,690,659,310,31,659,182,72,128,141,731,128,269
106,774,750,226,24,750,126,56,100,94,806,100,194
107,0,0,1000,0,0,2,0,998,2,0,998,1000
108,898,881,102,17,881,65,56,37,26,937,37,63
109,999,0,1,999,0,1,999,0,1,999,0,1
110,946,931,54,15,931,39,31,15,23,962,15,38
111,965,954,35,11,954,23,25,12,9,979,12,21
112,0,0,1000,0,0,1,0,999,1,0,999,1000
113,969,960,31,9,960,21,20,10,10,980,10,20
114,977,969,23,8,969,13,16,10,5,985,10,15
115,981,975,19,6,975,14,15,5,5,990,5,10
116,982,967,18,15,967,7,15,11,7,982,11,18
117,0,0,1000,0,0,1,0,999,1,0,999,1000
118,979,967,21,12,967,12,18,9,6,985,9,15
119,985,979,15,6,979,12,12,3,6,991,3,9
120,982,977,18,5,977,13,10,5,8,987,5,13
121,995,0,5,995,0,5,0,0,1000,0,0,1000
122,981,981,19,0,981,14,11,5,3,992,5,8
123,0,0,1000,0,0,2,0,998,2,0,998,1000
124,986,985,14,1,985,10,10,4,1,995,4,5
125,984,984,16,0,984,12,10,4,2,994,4,6
126,982,979,18,3,979,11,13,7,1,992,7,8
127,229,227,771,2,227,72,21,699,53,248,699,752
128,983,983,17,0,983,6,5,11,1,988,11,12
129,978,977,22,1,977,12,9,10,4,986,10,14
130,887,886,113,1,886,46,24,67,23,910,67,90
131,512,507,488,5,507,125,46,363,84,553,363,447
132,601,599,399,2,599,112,46,287,68,645,287,355
133,384,381,616,3,381,89,31,527,61,412,527,588
134,681,675,319,6,675,76,39,243,43,714,243,286
135,431,431,569,0,431,108,44,461,64,475,461,525
136,561,559,439,2,559,104,47,335,59,606,335,394
137,436,430,564,6,430,133,48,431,91,478,431,522
138,539,535,461,4,535,97,41,364,60,576,364,424
139,557,554,443,3,554,97,38,346,62,592,346,408
140,488,486,512,2,486,77,30,435,49,516,435,484
141,473,471,527,2,471,87,36,440,53,507,440,493
142,491,485,509,6,485,102,49,407,59,534,407,466
143,502,498,498,4,498,92,38,406,58,536,406,464
144,452,449,548,3,449,91,40,457,54,489,457,511
145,518,515,482,3,515,91,49,391,45,564,391,436
146,474,473,526,1,473,111,49,415,63,522,415,478
147,493,484,507,9,484,129,60,378,78,544,378,456
148,430,425,570,5,425,162,64,408,103,489,408,511
149,500,497,500,3,497,158,70,342,91,567,342,433
150,465,462,535,3,462,189,76,346,116,538,346,462
151,366,363,634,3,363,286,73,348,216,436,348,564
152,611,608,389,3,608,160,67,229,96,675,229,325
153,0,0,1000,0,0,1000,0,0,1000,0,0,1000
154,730,727,270,3,727,130,56,140,77,783,140,217
155,868,865,132,3,865,68,42,64,29,907,64,93
156,677,673,323,4,673,148,53,175,99,726,175,274
157,761,757,239,4,757,113,45,126,72,802,126,198
158,0,0,1000,0,0,0,0,1000,0,0,1000,1000
159,872,868,128,4,868,70,41,58,33,909,58,91
160,989,0,11,989,0,11,1000,0,0,1000,0,0
161,913,912,87,1,912,51,27,36,25,939,36,61
162,956,956,44,0,956,19,12,25,7,968,25,32
163,0,0,1000,0,0,2,0,998,2,0,998,1000
164,946,944,54,2,944,36,28,18,10,972,18,28
165,961,959,39,2,959,17,16,22,3,975,22,25
166,969,967,31,2,967,22,16,9,8,983,9,17
167,973,971,27,2,971,20,15,7,7,986,7,14
168,0,0,1000,0,0,2,0,998,2,0,998,1000
169,956,951,44,5,951,25,19,19,11,970,19,30
