,Route0,Route1,Route2,Route3,Route4,Route5
0,233,177,165,134,143,148
1,153,94,144,94,273,242
2,363,214,79,78,93,173
3,226,82,118,62,236,276
4,395,214,69,61,108,153
5,227,103,109,51,214,296
6,400,188,77,60,109,166
7,223,88,120,39,260,270
8,460,184,48,38,128,142
9,263,84,103,37,243,270
10,459,202,52,31,123,133
11,245,100,100,26,207,322
12,443,180,62,43,113,159
13,248,90,112,38,241,271
14,475,190,59,39,106,131
15,235,92,99,31,249,294
16,458,188,49,37,121,147
17,247,86,97,29,260,281
18,466,185,53,37,115,144
19,248,92,93,26,262,279
20,477,192,44,30,109,148
21,255,99,92,24,238,292
22,452,190,52,32,123,151
23,227,89,97,19,259,309
24,515,166,36,23,124,136
25,262,81,91,23,226,317
26,453,199,52,29,122,145
27,241,83,112,22,270,272
28,495,179,37,28,128,133
29,260,80,85,26,269,280
30,480,206,34,19,120,141
31,254,98,80,22,247,299
32,491,178,44,27,113,147
33,250,82,90,17,255,306
34,478,206,45,24,108,139
35,247,97,88,20,266,282
36,454,207,38,23,129,149
37,252,91,99,15,221,322
38,456,198,58,23,102,163
39,254,94,91,27,271,263
40,504,184,39,20,124,129
41,256,81,81,16,259,307
42,478,197,46,11,118,150
43,260,97,85,16,253,289
44,473,179,54,25,115,154
45,250,100,92,20,250,288
46,467,188,52,21,123,149
47,255,84,93,9,259,300
48,499,205,42,15,112,127
49,241,99,84,13,244,319
50,453,193,58,26,116,154
51,246,99,79,19,285,272
52,459,189,43,22,131,156
53,249,89,79,15,274,294
54,497,190,36,17,121,139
55,271,86,78,14,266,285
56,461,199,45,24,113,158
57,233,97,92,19,256,303
58,495,188,33,15,117,152
59,262,95,82,12,260,289
60,489,191,45,18,114,143
61,260,91,85,12,252,300
62,490,193,46,15,106,150
63,234,98,96,11,227,334
64,480,190,46,20,119,145
65,245,87,84,14,280,290
66,474,198,45,13,131,139
67,255,91,77,14,249,314
68,472,185,63,18,118,144
69,260,99,84,23,264,270
70,467,189,53,21,122,148
71,259,86,79,14,270,292
72,480,192,45,13,131,139
73,275,96,82,10,250,287
74,435,195,57,20,133,160
75,260,104,86,16,241,293
76,456,181,53,23,127,160
77,254,76,105,19,283,263
78,482,174,49,24,133,138
79,285,95,72,15,241,292
80,463,190,59,16,115,157
81,272,87,90,16,236,299
82,439,174,57,24,126,180
83,262,84,88,23,276,267
84,483,187,46,23,121,140
85,267,91,66,13,241,322
86,459,178,49,21,119,174
87,248,80,94,24,254,300
88,479,195,50,18,120,138
89,266,89,84,12,262,287
90,446,175,51,25,137,166
91,283,84,85,14,238,296
92,448,190,58,23,130,151
93,263,118,79,18,258,264
94,476,172,68,21,120,143
95,264,83,79,18,270,286
96,442,195,46,19,135,163
97,257,99,90,17,249,288
98,472,179,57,15,110,167
99,256,86,74,10,267,307
