,Road0,Road1,Road2,Road3,Road4,Road5,Road6,Road7,Road8,Road9,Road10,Road11
0,190,65,810,125,65,692,106,118,711,171,118,829
1,850,422,150,428,422,96,424,54,100,846,54,154
2,725,610,275,115,610,101,114,174,102,724,174,276
3,746,608,254,138,608,86,121,168,103,729,168,271
4,208,79,792,129,79,108,105,684,132,184,684,816
5,856,663,144,193,663,57,177,87,73,840,87,160
6,746,508,254,238,508,103,208,151,133,716,151,284
7,742,464,258,278,464,103,232,155,149,696,155,304
8,602,396,398,206,396,134,179,264,161,575,264,425
9,477,266,523,211,266,137,162,386,186,428,386,572
10,755,488,245,267,488,127,250,118,144,738,118,262
11,217,76,783,141,76,641,114,142,668,190,142,810
12,866,256,134,610,256,62,591,72,81,847,72,153
13,642,547,358,95,547,93,85,265,103,632,265,368
14,732,604,268,128,604,85,105,183,108,709,183,291
15,207,80,793,127,80,103,99,690,131,179,690,821
16,847,675,153,172,675,61,149,92,84,824,92,176
17,734,600,266,134,600,86,96,180,124,696,180,304
18,744,584,256,160,584,94,124,162,130,708,162,292
19,632,496,368,136,496,121,93,247,164,589,247,411
20,229,84,771,145,84,118,103,653,160,187,653,813
21,845,674,155,171,674,61,147,94,85,821,94,179
22,244,104,756,140,104,602,102,154,640,206,154,794
23,881,184,119,697,184,47,678,72,66,862,72,138
24,723,622,277,101,622,83,88,194,96,710,194,290
25,728,610,272,118,610,86,83,186,121,693,186,307
26,196,103,804,93,103,113,64,691,142,167,691,833
27,835,699,165,136,699,56,125,109,67,824,109,176
28,725,613,275,112,613,111,88,164,135,701,164,299
29,732,602,268,130,602,106,92,162,144,694,162,306
30,698,591,302,107,591,112,78,190,141,669,190,331
31,198,78,802,120,78,135,72,667,183,150,667,850
32,851,697,149,154,697,59,130,90,83,827,90,173
33,239,115,761,124,115,617,92,144,649,207,144,793
34,868,180,132,688,180,61,674,71,75,854,71,146
35,732,637,268,95,637,81,90,187,86,727,187,273
36,730,613,270,117,613,104,86,166,135,699,166,301
37,204,110,796,94,110,108,63,688,139,173,688,827
38,852,718,148,134,718,51,114,97,71,832,97,168
39,735,639,265,96,639,84,73,181,107,712,181,288
40,721,614,279,107,614,99,68,180,138,682,180,318
41,689,591,311,98,591,126,71,185,153,662,185,338
42,193,85,807,108,85,120,74,687,154,159,687,841
43,849,712,151,137,712,60,119,91,78,831,91,169
44,238,128,762,110,128,606,77,156,639,205,156,795
45,863,209,137,654,209,56,638,81,72,847,81,153
46,734,639,266,95,639,87,83,179,99,722,179,278
47,712,602,288,110,602,123,83,165,150,685,165,315
48,195,99,805,96,99,130,69,675,157,168,675,832
49,842,702,158,140,702,66,124,92,82,826,92,174
50,727,622,273,105,622,102,86,171,121,708,171,292
51,722,610,278,112,610,118,80,160,150,690,160,310
52,708,599,292,109,599,132,70,160,171,669,160,331
53,200,97,800,103,97,134,71,666,166,168,666,832
54,848,699,152,149,699,73,135,79,87,834,79,166
55,251,115,749,136,115,616,96,133,656,211,133,789
56,859,190,141,669,190,66,647,75,88,837,75,163
57,701,624,299,77,624,104,73,195,108,697,195,303
58,730,621,270,109,621,90,74,180,125,695,180,305
59,222,130,778,92,130,100,66,678,126,196,678,804
60,863,712,137,151,712,53,137,84,67,849,84,151
61,723,618,277,105,618,116,89,161,132,707,161,293
62,721,596,279,125,596,107,81,172,151,677,172,323
63,707,595,293,112,595,126,82,167,156,677,167,323
64,190,78,810,112,78,145,76,665,181,154,665,846
65,837,689,163,148,689,85,136,78,97,825,78,175
66,233,123,767,110,123,614,85,153,639,208,153,792
67,877,203,123,674,203,49,656,74,67,859,74,141
68,715,627,285,88,627,103,83,182,108,710,182,290
69,699,614,301,85,614,115,70,186,130,684,186,316
70,192,107,808,85,107,117,56,691,146,163,691,837
71,826,715,174,111,715,66,100,108,77,815,108,185
72,738,633,262,105,633,107,69,155,143,702,155,298
73,732,616,268,116,616,118,70,150,164,686,150,314
74,678,586,322,92,586,139,65,183,166,651,183,349
75,204,82,796,122,82,127,79,669,170,161,669,839
76,850,721,150,129,721,60,108,90,81,829,90,171
77,226,103,774,123,103,633,88,141,668,191,141,809
78,870,224,130,646,224,59,620,71,85,844,71,156
79,723,643,277,80,643,83,65,194,98,708,194,292
80,722,630,278,92,630,88,69,190,111,699,190,301
81,200,109,800,91,109,110,68,690,133,177,690,823
82,859,735,141,124,735,51,112,90,63,847,90,153
83,713,626,287,87,626,110,74,177,123,700,177,300
84,743,611,257,132,611,103,91,154,144,702,154,298
85,711,596,289,115,596,110,74,179,151,670,179,330
86,207,94,793,113,94,111,64,682,160,158,682,842
87,868,712,132,156,712,47,123,85,80,835,85,165
88,231,119,769,112,119,612,83,157,641,202,157,798
89,864,208,136,656,208,58,643,78,71,851,78,149
90,736,661,264,75,661,87,67,177,95,728,177,272
91,732,613,268,119,613,100,98,168,121,711,168,289
92,206,105,794,101,105,104,73,690,132,178,690,822
93,840,725,160,115,725,54,101,106,68,826,106,174
94,735,621,265,114,621,94,79,171,129,700,171,300
95,738,622,262,116,622,94,77,168,133,699,168,301
96,718,606,282,112,606,119,73,163,158,679,163,321
97,210,95,790,115,95,137,76,653,176,171,653,829
98,861,740,139,121,740,64,105,75,80,845,75,155
99,248,133,752,115,133,622,83,130,654,216,130,784
100,869,215,131,654,215,62,636,69,80,851,69,149
101,713,642,287,71,642,82,60,205,93,702,205,298
102,728,628,272,100,628,88,76,184,112,704,184,296
103,214,113,786,101,113,107,70,679,138,183,679,817
104,849,721,151,128,721,51,107,100,72,828,100,172
105,731,628,269,103,628,93,68,176,128,696,176,304
106,714,607,286,107,607,120,76,166,151,683,166,317
107,722,600,278,122,600,117,76,161,163,676,161,324
108,199,89,801,110,89,121,68,680,163,157,680,843
109,835,701,165,134,701,58,108,107,84,809,107,191
110,243,120,757,123,120,610,85,147,648,205,147,795
111,863,206,137,657,206,49,637,88,69,843,88,157
112,720,641,280,79,641,87,70,193,96,711,193,289
