,Route0,Route1,Route2,Route3,Route4,Route5
0,78,30,59,54,701,78
1,413,441,28,28,49,41
2,675,83,24,20,67,131
3,212,64,37,22,70,595
4,737,105,32,24,37,65
5,601,73,39,22,60,205
6,64,52,55,27,60,742
7,653,197,32,19,25,74
8,502,238,39,18,70,133
9,515,209,55,25,81,115
10,470,214,62,16,82,156
11,316,142,58,24,93,367
12,428,177,75,24,74,222
13,223,124,89,29,80,455
14,503,225,92,29,65,86
15,161,80,109,20,83,547
16,586,219,68,22,52,53
17,237,124,260,18,92,269
18,418,142,83,65,63,229
19,222,82,184,44,86,382
20,451,146,122,54,62,165
21,228,101,192,44,82,353
22,415,120,151,66,67,181
23,234,77,172,49,97,371
24,415,146,150,64,69,156
25,226,95,178,60,117,324
26,398,119,127,72,75,209
27,237,78,190,65,113,317
28,357,124,142,80,95,202
29,284,104,168,58,142,244
30,311,89,141,93,133,233
31,296,93,163,70,153,225
32,331,109,150,73,115,222
33,271,103,150,72,161,243
34,313,113,130,89,149,206
35,285,97,150,71,160,237
36,318,102,151,82,148,199
37,285,102,132,74,150,257
38,292,120,141,66,160,221
39,315,103,137,88,157,200
40,293,106,127,82,159,233
41,311,94,129,81,153,232
42,306,106,146,78,171,193
43,296,87,135,82,179,221
44,320,104,148,63,169,196
45,286,101,133,81,176,223
46,285,135,112,75,174,219
47,336,105,139,54,154,212
48,278,88,134,72,184,244
49,356,115,119,75,136,199
50,267,90,136,72,210,225
51,326,130,108,70,141,225
52,283,97,127,73,205,215
53,322,127,112,88,136,215
54,273,103,139,61,208,216
55,360,124,96,79,141,200
56,268,92,148,61,187,244
57,322,129,114,81,157,197
58,302,105,127,66,177,223
59,295,119,127,89,174,196
60,281,106,128,74,195,216
61,339,102,112,85,153,209
62,299,94,130,63,189,225
63,306,118,154,63,160,199
64,314,98,123,71,179,215
65,297,90,135,92,163,223
66,305,96,129,69,196,205
67,310,119,118,81,167,205
68,293,95,130,65,181,236
69,288,127,128,89,162,206
70,303,104,138,79,181,195
71,290,115,131,88,164,212
72,281,126,144,83,172,194
73,303,98,126,84,171,218
74,291,111,135,75,175,213
75,297,101,127,79,172,224
76,298,122,129,74,151,226
77,321,97,125,75,189,193
78,304,103,132,76,170,215
79,286,105,125,86,175,223
80,312,102,131,82,158,215
81,295,100,144,63,189,209
82,315,118,142,67,177,181
83,302,97,110,93,163,235
84,305,101,133,72,173,216
85,297,117,144,70,195,177
