,Route0,Route1,Route2,Route3,Route4,Route5
0,288,265,125,106,98,118
1,144,119,87,54,429,167
2,388,232,33,32,117,198
3,242,114,56,28,178,382
4,367,166,96,34,106,231
5,287,97,105,47,167,297
6,362,165,91,66,107,209
7,275,109,113,54,159,290
8,349,142,125,66,101,217
9,264,85,130,73,178,270
10,396,162,96,66,87,193
11,261,100,117,43,179,300
12,389,147,96,56,105,207
13,242,79,129,48,200,302
14,429,162,80,49,103,177
15,266,89,107,45,218,275
16,408,172,92,47,115,166
17,249,87,110,40,209,305
18,418,172,85,43,102,180
19,249,83,105,36,240,287
20,441,188,77,36,111,147
21,267,85,91,34,247,276
22,420,166,78,39,122,175
23,265,94,104,38,215,284
24,385,187,85,52,120,171
25,252,101,106,35,249,257
26,421,165,80,45,129,160
27,254,89,108,37,254,258
28,460,149,67,41,124,159
29,260,77,105,37,252,269
30,445,156,79,37,117,166
31,260,91,95,33,235,286
32,437,162,74,39,113,175
33,274,107,108,40,234,237
34,419,151,87,47,133,163
35,248,87,121,42,225,277
36,439,151,79,52,119,160
37,261,66,107,39,265,262
38,443,166,63,38,121,169
39,241,87,104,30,248,290
40,436,160,64,41,128,171
41,283,92,108,31,238,248
42,432,174,64,44,115,171
43,261,89,86,27,253,284
44,440,171,59,37,124,169
45,267,90,112,27,236,268
46,473,167,54,43,125,138
47,267,84,90,26,264,269
48,439,186,73,28,106,168
49,234,94,81,32,269,290
50,474,164,56,25,120,161
51,270,88,93,28,259,262
52,449,171,63,16,141,160
53,274,98,78,27,254,269
54,436,169,65,29,126,175
55,252,89,109,27,270,253
56,466,150,68,28,131,157
57,276,67,87,34,250,286
58,456,157,67,32,120,168
59,300,88,82,33,238,259
60,410,187,74,29,139,161
61,268,97,98,24,233,280
62,432,169,74,39,120,166
63,278,79,92,34,265,252
64,434,185,66,28,127,160
65,239,99,100,23,274,265
66,457,164,59,26,119,175
67,288,84,88,29,227,284
68,422,160,71,40,126,181
69,292,84,98,29,248,249
70,424,162,75,36,129,174
71,263,82,84,24,264,283
72,453,172,58,16,131,170
73,282,83,83,23,275,254
74,457,185,58,21,128,151
75,280,101,82,27,232,278
76,449,139,72,20,141,179
77,272,74,87,30,259,278
78,427,193,63,17,129,171
79,251,90,96,24,267,272
80,455,174,56,23,132,160
81,281,90,80,27,251,271
82,441,168,67,22,106,196
83,283,72,87,20,273,265
84,450,183,62,22,130,153
85,277,105,83,23,226,286
86,416,166,78,25,143,172
87,268,82,68,27,293,262
88,464,184,54,21,132,145
89,285,99,87,20,225,284
90,431,165,79,31,120,174
91,260,76,97,28,276,263
92,448,165,48,26,136,177
93,318,75,100,18,236,253
94,448,151,73,38,120,170
95,263,91,94,30,264,258
96,447,160,74,28,127,164
97,270,75,78,21,260,296
98,470,153,52,15,140,170
99,291,68,98,21,228,294
