,Route0,Route1,Route2,Route3,Route4,Route5
0,16,2,72,20,773,117
1,437,461,12,3,64,23
2,598,44,11,1,72,274
3,665,155,42,40,20,78
4,581,69,28,29,52,241
5,623,121,40,33,45,138
6,83,73,25,34,72,713
7,698,216,6,9,18,53
8,429,180,24,10,75,282
9,507,247,65,33,39,109
10,365,117,37,15,66,400
11,486,223,70,31,53,137
12,126,71,35,36,65,667
13,638,276,12,4,16,54
14,445,185,12,12,100,246
15,421,235,80,38,47,179
16,197,81,39,31,76,576
17,560,290,60,11,26,53
18,301,106,26,9,92,466
19,550,223,90,25,38,74
20,194,70,24,24,88,600
21,641,237,41,2,24,55
22,349,129,30,17,89,386
23,465,214,99,27,52,143
24,185,72,74,35,73,561
25,561,270,71,13,23,62
26,256,93,143,20,91,397
27,504,176,136,66,30,88
28,175,64,179,32,96,454
29,571,198,80,48,26,77
30,213,78,200,15,103,391
31,469,184,100,107,31,109
32,168,64,197,49,101,421
33,507,186,114,69,23,101
34,197,76,200,38,122,367
35,453,174,130,99,35,109
36,208,54,204,45,132,357
37,471,171,114,96,48,100
38,194,67,178,50,145,366
39,479,179,97,69,57,119
40,207,58,164,46,182,343
41,469,186,119,51,62,113
42,225,62,127,54,215,317
43,473,208,106,44,77,92
44,185,78,132,45,217,343
45,511,206,105,25,71,82
46,168,67,121,33,277,334
47,510,219,85,26,72,88
48,206,76,106,39,228,345
49,476,217,105,30,74,98
50,208,57,102,50,266,317
51,494,227,75,32,89,83
52,228,94,103,34,212,329
53,464,199,97,27,127,86
54,218,73,108,47,250,304
55,432,219,93,40,122,94
56,225,68,108,56,248,295
57,437,242,80,38,88,115
58,199,77,98,45,261,320
59,445,186,118,29,118,104
60,239,79,87,58,257,280
61,446,202,102,45,108,97
62,226,55,111,41,259,308
63,462,192,87,34,123,102
64,236,82,100,46,228,308
65,488,185,77,42,118,90
66,198,79,102,39,264,318
67,508,172,83,34,116,87
68,186,88,130,46,241,309
69,496,193,75,27,109,100
70,218,77,103,54,246,302
71,460,222,92,38,105,83
72,228,69,84,44,259,316
73,447,209,105,36,115,88
74,231,64,84,48,263,310
75,454,213,92,40,97,104
76,230,68,98,47,251,306
77,438,212,102,34,120,94
78,230,63,106,48,257,296
79,439,211,82,35,128,105
80,233,66,113,52,245,291
81,454,198,97,42,118,91
82,259,80,93,32,233,303
83,451,192,80,49,133,95
84,214,73,105,47,262,299
85,449,183,100,32,135,101
86,226,74,92,50,256,302
87,431,205,100,40,147,77
88,249,63,101,47,222,318
89,444,207,84,36,131,98
90,242,80,92,46,257,283
91,459,192,92,38,131,88
92,231,85,108,43,246,287
93,441,196,88,39,144,92
94,229,71,112,50,243,295
95,431,208,79,46,150,86
96,201,86,115,48,246,304
97,457,201,83,30,149,80
98,231,67,102,48,244,308
99,439,207,91,34,130,99
