,Route0,Route1,Route2,Route3,Route4,Route5
0,118,81,86,63,571,81
1,446,366,47,42,30,69
2,76,82,51,27,108,656
3,643,139,35,28,61,94
4,585,79,73,34,94,135
5,560,87,78,49,98,128
6,490,106,86,49,128,141
7,322,103,94,49,118,314
8,425,145,101,62,89,178
9,181,69,95,45,147,463
10,529,235,48,39,73,76
11,338,127,126,36,133,240
12,322,120,159,48,120,231
13,308,106,137,59,120,270
14,362,113,153,64,115,193
15,287,92,128,57,130,306
16,413,134,122,62,102,167
17,233,97,133,56,142,339
18,450,141,119,55,84,151
19,252,79,149,57,142,321
20,406,149,129,82,86,148
21,223,88,149,69,182,289
22,407,155,112,83,87,156
23,239,102,157,77,164,261
24,361,127,110,95,106,201
25,240,97,163,56,193,251
26,372,144,92,108,115,169
27,233,89,152,77,185,264
28,412,119,106,89,86,188
29,254,74,147,59,191,275
30,383,157,119,88,100,153
31,239,95,136,80,175,275
32,386,151,100,70,115,178
33,230,80,141,73,202,274
34,411,134,99,73,117,166
35,249,88,137,67,207,252
36,366,130,119,75,114,196
37,285,89,130,67,194,235
38,380,126,101,86,118,189
39,252,100,144,64,200,240
40,358,139,115,66,139,183
41,250,103,125,78,183,261
42,358,139,105,92,121,185
43,260,82,136,72,198,252
44,352,144,108,74,133,189
45,264,86,134,63,210,243
46,382,145,112,68,114,179
47,250,84,131,59,204,272
48,371,146,100,74,133,176
49,284,91,119,71,200,235
50,357,141,105,74,130,193
51,293,97,138,61,182,229
52,320,126,117,93,153,191
53,264,78,148,93,175,242
54,333,145,125,85,116,196
55,249,97,123,68,194,269
56,351,135,114,76,128,196
57,283,89,128,70,203,227
58,352,133,115,79,138,183
59,282,66,121,75,204,252
60,368,136,118,78,123,177
61,257,105,119,75,207,237
62,362,145,92,66,143,192
63,295,77,146,78,194,210
64,340,127,105,74,161,193
65,281,88,147,67,168,249
66,336,127,103,100,124,210
67,283,88,140,88,184,217
68,334,133,112,76,129,216
69,274,97,131,78,179,241
70,343,147,118,77,131,184
71,245,90,138,74,210,243
72,330,148,118,77,142,185
73,274,87,117,73,193,256
74,324,136,113,63,146,218
75,275,97,124,87,199,218
76,375,148,98,70,122,187
77,267,101,134,60,194,244
78,352,122,114,83,132,197
79,285,85,137,78,183,232
80,343,134,126,91,129,177
81,247,83,136,76,216,242
82,352,143,120,72,140,173
83,276,98,145,66,181,234
84,354,121,108,82,140,195
85,248,89,136,85,215,227
86,345,148,94,84,145,184
87,288,87,131,79,174,241
88,329,128,121,95,137,190
89,263,88,157,65,192,235
90,355,118,132,86,124,185
91,282,81,140,83,188,226
92,320,124,120,83,142,211
93,272,91,144,84,182,227
94,333,138,115,80,138,196
95,282,95,131,71,184,237
96,301,140,118,85,150,206
97,289,106,149,62,181,213
98,318,135,108,98,138,203
99,282,90,139,85,192,212
