,Route0,Route1,Route2,Route3,Route4,Route5
0,62,40,97,39,643,119
1,356,296,86,38,123,101
2,586,61,84,40,125,104
3,552,93,82,40,127,106
4,477,154,79,39,134,117
5,256,114,76,39,144,371
6,459,180,74,42,141,104
7,261,123,74,41,143,358
8,474,183,69,35,128,111
9,197,99,67,35,140,462
10,482,209,62,33,111,103
11,400,195,65,29,124,187
12,223,117,68,29,141,422
13,482,204,62,27,127,98
14,268,137,64,28,135,368
15,437,190,64,22,132,155
16,243,110,62,21,143,421
17,485,187,61,25,119,123
18,252,139,56,25,134,394
19,424,176,65,30,120,185
20,294,133,64,35,135,339
21,377,160,73,40,121,229
22,282,139,76,43,127,333
23,354,155,85,49,122,235
24,286,123,89,43,134,325
25,368,155,92,38,133,214
26,293,116,98,47,139,307
27,355,142,98,49,130,226
28,326,119,101,52,134,268
29,331,118,108,54,135,254
30,325,121,114,57,151,232
31,315,132,111,58,142,242
32,333,120,110,64,145,228
33,310,105,124,68,132,261
34,320,116,132,68,130,234
35,322,117,124,69,134,234
36,305,111,144,74,130,236
37,307,113,121,68,134,257
38,326,107,130,77,126,234
39,311,116,129,69,144,231
40,300,104,125,78,135,258
41,323,110,137,79,141,210
42,349,86,118,83,151,213
43,301,105,129,82,152,231
44,363,99,112,63,137,226
45,308,97,133,83,135,244
46,322,101,125,87,144,221
47,323,99,146,79,137,216
48,289,99,137,83,150,242
49,319,100,141,87,139,214
50,339,92,126,88,127,228
51,326,100,140,91,150,193
52,286,104,143,84,146,237
53,311,98,135,90,150,216
54,316,92,136,87,139,230
55,315,100,138,88,140,219
56,317,96,146,74,146,221
57,319,97,142,82,145,215
58,329,89,125,81,148,228
59,305,104,136,81,136,238
60,299,103,128,99,149,222
61,319,95,155,88,143,200
62,294,107,145,86,136,232
63,328,96,127,93,137,219
64,313,96,145,86,135,225
65,295,99,139,80,150,237
66,309,101,148,96,132,214
67,309,86,145,93,144,223
68,305,94,139,83,156,223
69,324,99,140,101,135,201
70,300,102,125,83,165,225
71,313,110,133,87,150,207
72,305,101,132,94,165,203
73,315,96,124,85,165,215
74,312,101,135,80,149,223
75,311,106,130,87,153,213
76,306,111,124,82,158,219
77,294,106,155,73,153,219
78,305,101,133,91,141,229
79,318,112,136,88,137,209
80,299,113,143,84,142,219
81,286,117,130,84,149,234
82,303,111,123,84,152,227
83,303,107,130,98,151,211
84,310,109,139,80,136,226
85,304,99,131,90,167,209
86,305,114,148,83,153,197
87,305,103,139,91,146,216
88,306,102,149,75,164,204
89,298,107,142,90,155,208
90,316,103,134,89,157,201
91,288,105,130,95,155,227
92,322,101,160,81,135,201
93,308,97,125,96,161,213
94,304,97,139,85,152,223
95,296,98,133,95,162,216
96,323,104,121,85,152,215
97,316,95,123,80,166,220
98,326,107,131,87,160,189
99,318,97,134,81,167,203
