,Route0,Route1,Route2,Route3,Route4,Route5
0,65,53,87,60,619,116
1,446,367,43,29,52,63
2,612,90,38,25,64,171
3,466,75,62,45,70,282
4,130,75,72,54,63,606
5,633,174,47,36,35,75
6,513,176,56,32,98,125
7,246,108,76,37,95,438
8,501,207,68,53,71,100
9,196,82,66,37,102,517
10,528,247,54,37,50,84
11,397,148,53,30,118,254
12,243,97,98,39,111,412
13,524,173,80,53,74,96
14,194,97,112,34,113,450
15,510,211,76,38,72,93
16,218,103,176,34,102,367
17,444,168,107,79,70,132
18,222,102,184,56,108,328
19,393,139,128,89,91,160
20,244,72,158,50,124,352
21,431,166,126,63,82,132
22,255,97,164,50,142,292
23,370,118,126,91,99,196
24,252,81,187,67,144,269
25,389,130,124,74,93,190
26,258,85,147,78,145,287
27,346,145,152,66,104,187
28,262,82,132,82,153,289
29,358,144,132,80,104,182
30,261,83,139,62,176,279
31,375,131,133,74,120,167
32,238,93,139,69,190,271
33,379,138,118,70,111,184
34,278,100,132,60,203,227
35,333,125,109,85,139,209
36,266,98,152,71,178,235
37,352,128,124,79,136,181
38,281,102,124,59,181,253
39,346,120,143,71,132,188
40,238,97,134,80,202,249
41,348,140,105,90,125,192
42,275,98,125,65,181,256
43,305,136,132,75,140,212
44,279,105,130,78,193,215
45,343,125,119,81,141,191
46,261,108,141,57,210,223
47,361,132,110,83,131,183
48,263,86,153,75,191,232
49,357,125,107,83,120,208
50,273,102,138,81,209,197
51,344,129,128,69,140,190
52,243,79,122,75,219,262
53,371,145,94,71,131,188
54,283,113,132,65,192,215
55,311,128,109,77,150,225
56,284,119,130,69,165,233
57,312,117,137,97,158,179
58,259,101,141,75,174,250
59,348,150,98,78,134,192
60,246,92,128,72,188,274
61,366,136,118,65,127,188
62,261,103,147,72,194,223
63,353,118,110,89,141,189
64,265,98,137,67,196,237
65,341,123,111,73,154,198
66,313,93,132,75,178,209
67,294,116,126,77,168,219
68,297,117,128,89,170,199
69,294,94,144,81,150,237
70,316,105,117,75,157,230
71,308,111,146,76,173,186
72,270,95,132,91,167,245
73,312,115,125,87,156,205
74,309,100,107,75,200,209
75,325,125,135,59,143,213
76,292,94,127,81,190,216
77,295,125,129,78,164,209
78,264,114,134,89,178,221
79,322,119,127,77,155,200
80,300,100,126,78,188,208
81,322,106,124,71,155,222
82,280,110,125,83,187,215
83,333,115,131,62,152,207
84,295,88,129,78,186,224
85,333,107,140,78,150,192
86,273,103,135,77,189,223
87,324,126,114,79,164,193
88,308,102,136,79,163,212
89,280,102,133,83,162,240
90,306,127,123,85,167,192
91,306,88,122,76,176,232
92,316,126,128,77,157,196
93,301,99,132,62,186,220
94,318,131,105,81,173,192
95,271,111,142,60,176,240
96,334,104,117,82,168,195
97,309,95,132,77,162,225
98,311,99,123,94,166,207
99,293,115,119,72,184,217
100,311,112,126,80,148,223
101,303,100,128,84,178,207
102,300,110,126,86,162,216
103,302,111,144,80,155,208
104,266,116,143,93,176,206
105,334,94,116,76,157,223
106,285,104,143,86,162,220
107,300,97,147,93,160,203
108,327,99,136,79,161,198
109,283,94,135,85,191,212
110,329,133,100,79,146,213
111,263,103,143,75,195,221
112,309,150,101,86,151,203
113,279,83,133,72,173,260
114,322,142,126,81,150,179
115,295,91,141,58,184,231
116,339,126,108,77,166,184
117,281,104,132,75,191,217
118,306,138,107,63,149,237
119,327,107,121,70,141,234
120,297,99,133,70,193,208
121,317,117,111,93,150,212
122,275,82,139,84,181,239
123,329,137,116,80,154,184
124,254,98,137,82,190,239
125,334,138,123,82,148,175
126,295,91,120,70,182,242
127,316,138,120,75,174,177
128,291,102,122,77,182,226
129,313,114,131,75,164,203
130,291,115,129,68,171,226
131,296,112,119,94,176,203
132,310,111,132,69,154,224
133,315,100,144,78,170,193
134,295,90,110,105,189,211
135,341,112,143,65,142,197
136,234,94,140,79,191,262
137,358,146,113,73,126,184
138,283,103,120,63,195,236
139,320,127,117,82,151,203
