,Road0,Road1,Road2,Road3,Road4,Road5,Road6,Road7,Road8,Road9,Road10,Road11
0,272,108,728,164,108,646,165,82,645,273,82,727
1,867,494,133,373,494,75,373,58,75,867,58,133
2,213,88,787,125,88,142,115,645,152,203,645,797
3,837,639,163,198,639,90,195,73,93,834,73,166
4,739,552,261,187,552,120,144,141,163,696,141,304
5,719,506,281,213,506,152,160,129,205,666,129,334
6,669,415,331,254,415,159,205,172,208,620,172,380
7,339,141,661,198,141,156,129,505,225,270,505,730
8,842,540,158,302,540,98,276,60,124,816,60,184
9,662,397,338,265,397,150,161,188,254,558,188,442
10,492,241,508,251,241,175,142,333,284,383,333,617
11,763,511,237,252,511,140,230,97,162,741,97,259
12,331,111,669,220,111,171,107,498,284,218,498,782
13,819,553,181,266,553,107,256,74,117,809,74,191
14,651,317,349,334,317,172,158,177,348,475,177,525
15,639,429,361,210,429,180,199,181,191,628,181,372
16,478,210,522,268,210,213,139,309,342,349,309,651
17,749,512,251,237,512,146,236,105,147,748,105,252
18,400,164,600,236,164,227,136,373,327,300,373,700
19,773,524,227,249,524,136,242,91,143,766,91,234
20,425,187,575,238,187,242,152,333,328,339,333,661
21,731,451,269,280,451,156,267,113,169,718,113,282
22,458,206,542,252,206,253,152,289,353,358,289,642
23,655,405,345,250,405,193,257,152,186,662,152,338
24,443,203,557,240,203,258,162,299,336,365,299,635
25,691,412,309,279,412,178,258,131,199,670,131,330
26,439,211,561,228,211,267,148,294,347,359,294,641
27,702,453,298,249,453,181,236,117,194,689,117,311
28,429,213,571,216,213,273,132,298,357,345,298,655
29,688,451,312,237,451,169,200,143,206,651,143,349
30,484,248,516,236,248,273,170,243,339,418,243,582
31,584,374,416,210,374,220,224,196,206,598,196,402
32,507,281,493,226,281,262,165,231,323,446,231,554
33,597,373,403,224,373,216,216,187,224,589,187,411
34,481,256,519,225,256,267,149,252,343,405,252,595
35,628,352,372,276,352,179,235,193,220,587,193,413
36,489,262,511,227,262,274,165,237,336,427,237,573
37,595,356,405,239,356,211,231,194,219,587,194,413
38,508,289,492,219,289,254,146,238,327,435,238,565
39,622,392,378,230,392,213,224,165,219,616,165,384
40,480,236,520,244,236,267,142,253,369,378,253,622
41,601,367,399,234,367,217,248,182,203,615,182,385
42,496,264,504,232,264,273,171,231,334,435,231,565
43,613,370,387,243,370,193,214,194,222,584,194,416
44,432,235,568,197,235,284,154,284,327,389,284,611
45,657,384,343,273,384,173,236,170,210,620,170,380
46,480,257,520,223,257,268,152,252,339,409,252,591
47,613,366,387,247,366,198,213,189,232,579,189,421
48,469,260,531,209,260,294,151,237,352,411,237,589
49,643,393,357,250,393,195,224,162,221,617,162,383
50,474,277,526,197,277,258,160,268,295,437,268,563
51,626,351,374,275,351,201,229,173,247,580,173,420
52,469,245,531,224,245,256,144,275,336,389,275,611
53,626,366,374,260,366,182,229,192,213,595,192,405
54,483,261,517,222,261,294,166,223,350,427,223,573
55,620,380,380,240,380,211,201,169,250,581,169,419
56,488,278,512,210,278,266,153,246,323,431,246,569
57,628,373,372,255,373,196,214,176,237,587,176,413
58,487,280,513,207,280,258,177,255,288,457,255,543
59,626,354,374,272,354,190,205,184,257,559,184,441
60,464,249,536,215,249,270,154,266,331,403,266,597
61,624,390,376,234,390,203,225,173,212,615,173,385
62,475,270,525,205,270,280,141,245,344,411,245,589
63,656,406,344,250,406,195,224,149,221,630,149,370
64,441,241,559,200,241,279,156,280,323,397,280,603
65,627,364,373,263,364,192,226,181,229,590,181,410
66,472,265,528,207,265,283,156,245,334,421,245,579
67,626,370,374,256,370,184,205,190,235,575,190,425
68,468,247,532,221,247,283,172,249,332,419,249,581
69,615,351,385,264,351,206,231,179,239,582,179,418
70,507,283,493,224,283,255,151,238,328,434,238,566
71,596,349,404,247,349,187,226,217,208,575,217,425
72,496,255,504,241,255,254,171,250,324,426,250,574
73,610,355,390,255,355,214,228,176,241,583,176,417
74,484,256,516,228,256,283,165,233,346,421,233,579
75,596,336,404,260,336,198,246,206,212,582,206,418
76,477,252,523,225,252,260,141,263,344,393,263,607
77,617,375,383,242,375,198,207,185,233,582,185,418
78,490,286,510,204,286,275,155,235,324,441,235,559
79,621,360,379,261,360,212,224,167,249,584,167,416
80,454,252,546,202,252,289,139,257,352,391,257,609
81,610,361,390,249,361,203,219,187,233,580,187,420
82,499,269,501,230,269,252,172,249,310,441,249,559
83,595,372,405,223,372,215,208,190,230,580,190,420
84,514,289,486,225,289,245,144,241,326,433,241,567
85,590,327,410,263,327,224,249,186,238,576,186,424
86,508,283,492,225,283,259,174,233,310,457,233,543
87,570,328,430,242,328,218,207,212,253,535,212,465
88,469,251,531,218,251,304,168,227,354,419,227,581
89,606,357,394,249,357,210,220,184,239,577,184,423
90,481,243,519,238,243,276,161,243,353,404,243,596
91,615,379,385,236,379,196,216,189,216,595,189,405
92,493,273,507,220,273,276,150,231,346,423,231,577
93,601,361,399,240,361,207,222,192,225,583,192,417
94,514,285,486,229,285,258,161,228,326,446,228,554
95,582,351,418,231,351,197,210,221,218,561,221,439
96,509,282,491,227,282,248,154,243,321,436,243,564
97,590,340,410,250,340,209,212,201,247,552,201,448
98,496,277,504,219,277,262,157,242,324,434,242,566
99,602,363,398,239,363,202,210,196,231,573,196,427
100,475,276,525,199,276,270,137,255,332,413,255,587
101,572,337,428,235,337,230,218,198,247,555,198,445
102,499,271,501,228,271,268,138,233,358,409,233,591
103,604,383,396,221,383,203,196,193,228,579,193,421
104,513,305,487,208,305,263,168,224,303,473,224,527
105,579,336,421,243,336,227,221,194,249,557,194,443
106,494,263,506,231,263,277,166,229,342,429,229,571
107,594,356,406,238,356,213,216,193,235,572,193,428
108,503,280,497,223,280,259,152,238,330,432,238,568
109,600,341,400,259,341,196,213,204,242,554,204,446
110,500,287,500,213,287,278,161,222,330,448,222,552
111,604,353,396,251,353,220,245,176,226,598,176,402
112,486,280,514,206,280,278,156,236,328,436,236,564
113,625,379,375,246,379,185,218,190,213,597,190,403
114,473,273,527,200,273,278,160,249,318,433,249,567
115,603,348,397,255,348,213,233,184,235,581,184,419
116,485,263,515,222,263,260,159,255,323,422,255,578
117,623,389,377,234,389,184,210,193,208,599,193,401
118,457,266,543,191,266,306,145,237,352,411,237,589
119,600,354,400,246,354,205,214,195,237,568,195,432
120,487,259,513,228,259,254,146,259,336,405,259,595
121,607,368,393,239,368,201,215,192,225,583,192,417
122,492,278,508,214,278,255,141,253,328,419,253,581
123,603,354,397,249,354,193,239,204,203,593,204,407
124,482,271,518,211,271,279,153,239,337,424,239,576
125,614,387,386,227,387,205,203,181,229,590,181,410
126,493,281,507,212,281,271,139,236,344,420,236,580
127,620,360,380,260,360,199,226,181,233,586,181,414
128,455,265,545,190,265,273,161,272,302,426,272,574
129,579,325,421,254,325,218,220,203,252,545,203,455
130,512,289,488,223,289,250,167,238,306,456,238,544
131,606,327,394,279,327,201,228,193,252,555,193,445
132,493,277,507,216,277,267,141,240,342,418,240,582
133,599,351,401,248,351,220,241,181,227,592,181,408
134,528,275,472,253,275,235,147,237,341,422,237,578
135,544,319,456,225,319,242,221,214,246,540,214,460
136,523,283,477,240,283,265,160,212,345,443,212,557
137,595,358,405,237,358,234,219,171,252,577,171,423
138,509,299,491,210,299,254,156,237,308,455,237,545
139,595,359,405,236,359,227,229,178,234,588,178,412
140,499,285,501,214,285,262,156,239,320,441,239,559
141,616,370,384,246,370,173,202,211,217,572,211,428
142,461,274,539,187,274,292,159,247,320,433,247,567
143,602,344,398,258,344,217,215,181,260,559,181,441
