,Route0,Route1,Route2,Route3,Route4,Route5
400,110,95,44,4,395,352
401,541,303,26,2,50,78
402,117,96,34,4,370,379
403,581,289,14,2,45,69
404,105,90,32,1,367,405
405,552,278,18,2,56,94
406,108,79,52,7,386,368
407,565,267,24,4,51,89
408,109,89,44,6,403,349
409,562,296,24,4,45,69
410,101,86,37,1,425,350
411,564,280,13,2,61,80
412,85,97,52,2,375,389
413,552,300,19,2,45,82
414,103,104,39,3,389,362
415,564,307,20,2,40,67
416,116,89,26,6,395,368
417,555,295,11,4,43,92
418,121,84,37,2,362,394
419,583,287,17,1,31,81
420,102,75,31,5,406,381
421,572,282,14,3,53,76
422,108,89,43,0,378,382
423,566,275,21,1,50,87
424,102,98,38,4,380,378
425,579,255,23,2,46,95
426,106,88,52,1,403,350
427,553,299,24,1,59,64
428,108,92,35,4,375,386
429,562,296,14,2,46,80
430,101,93,35,2,388,381
431,550,301,21,1,51,76
432,97,97,31,4,364,407
433,572,280,21,1,38,88
434,111,91,35,5,386,372
435,532,315,18,2,39,94
436,111,91,42,2,398,356
437,587,269,18,2,47,77
438,118,87,34,8,357,396
439,553,290,17,6,50,84
440,98,86,44,5,389,378
441,568,285,18,1,50,78
442,103,85,49,1,386,376
443,567,277,20,1,57,78
444,94,107,45,4,397,353
445,594,271,20,3,49,63
446,128,85,41,4,395,347
447,551,306,17,2,49,75
448,108,99,32,3,365,393
449,568,278,14,2,54,84
450,111,80,47,4,389,369
451,574,274,20,2,51,79
452,112,70,44,4,392,378
453,550,289,23,3,50,85
454,124,88,37,8,378,365
455,569,277,16,9,51,78
456,104,101,41,7,371,376
457,551,312,18,2,54,63
458,107,92,33,2,402,364
459,534,314,14,1,61,76
460,110,100,29,3,389,369
461,592,283,11,2,39,73
462,119,82,35,5,396,363
463,587,275,15,3,53,67
464,110,88,33,6,367,396
465,561,281,16,4,43,95
466,110,81,34,5,404,366
467,543,310,13,5,54,75
468,116,80,35,6,406,357
469,564,277,19,4,61,75
470,106,87,44,4,381,378
471,590,249,23,3,44,91
472,125,83,33,4,381,374
473,547,304,18,3,53,75
474,102,87,34,2,394,381
475,541,296,20,4,48,91
476,114,76,35,0,398,377
477,562,278,16,0,59,85
478,112,97,44,5,389,353
479,590,273,25,3,48,61
480,107,83,41,7,362,400
481,566,281,22,6,50,75
482,117,78,43,11,413,338
483,554,276,27,9,57,77
484,102,80,42,8,389,379
485,562,275,24,2,53,84
486,108,75,46,9,386,376
487,548,292,17,5,56,82
488,104,88,46,7,364,391
489,557,289,21,2,52,79
490,111,92,46,8,370,373
491,550,306,19,3,48,74
492,123,82,35,8,383,369
493,575,289,18,2,41,75
494,105,93,41,5,368,388
495,557,292,24,2,42,83
496,99,87,34,2,422,356
497,566,269,17,0,61,87
498,97,95,52,6,368,382
499,559,293,22,3,46,77
